,date,municipality,state,highestsize,minsize,avgsize,violent_protest,curfew_protest,property_damage_protest,police_protest,countlove,wiki,ipsos
1489,2020-06-01,Norfolk,Virginia,200,200,200,NA,NA,NA,NA,1,0,0
1490,2020-06-01,Norman,Oklahoma,200,100,150,0,0,0,0,1,1,0
1491,2020-06-01,Northampton,Massachusetts,200,1000,600,1,0,1,0,1,1,0
1492,2020-06-01,NorthCharleston,SouthCarolina,200,200,200,NA,NA,NA,NA,1,0,0
1493,2020-06-01,NorthSuffolk,Virginia,140,140,140,NA,NA,NA,NA,1,0,0
1494,2020-06-01,Norton,Virginia,80,24,52,0,0,0,0,1,1,0
1495,2020-06-01,Nyack,NewYork,NA,NA,NA,0,0,0,0,0,1,0
1496,2020-06-01,O'Fallon,Missouri,2000,2000,2000,0,0,0,0,0,1,0
1497,2020-06-01,Oakland,California,30000,30000,30000,1,1,1,1,1,0,1
1498,2020-06-01,OceanSprings,Mississippi,20,20,20,NA,NA,NA,NA,1,0,0
1499,2020-06-01,Ogden,Utah,7,7,7,NA,NA,NA,NA,1,0,0
1500,2020-06-01,Ogdensburg,NewYork,100,100,100,0,0,0,0,1,1,0
1501,2020-06-01,OklahomaCity,Oklahoma,NA,NA,NA,NA,NA,NA,NA,1,0,0
1502,2020-06-01,Olympia,Washington,150,150,150,NA,NA,NA,NA,1,0,0
1503,2020-06-01,Omaha,Nebraska,NA,NA,NA,0,1,0,1,1,0,1
1504,2020-06-01,Orlando,Florida,500,500,500,0,1,0,1,1,0,1
1505,2020-06-01,OrlandPark,Illinois,NA,NA,NA,0,0,0,0,0,1,0
1506,2020-06-01,Oskaloosa,Iowa,NA,NA,NA,NA,NA,NA,NA,1,0,0
1507,2020-06-01,Oxnard,California,NA,NA,NA,0,1,0,1,0,0,1
1508,2020-06-01,Painesville,Ohio,NA,NA,NA,NA,NA,NA,NA,1,0,0
1509,2020-06-01,Paintsville,Kentucky,50,50,50,NA,NA,NA,NA,1,0,0
1510,2020-06-01,Palestine,Texas,50,50,50,0,0,0,0,1,1,0
1511,2020-06-01,PalmDesert,California,500,500,500,0,1,0,1,1,1,0
1512,2020-06-01,PalmSprings,California,500,50,275,0,1,0,0,1,1,0
1513,2020-06-01,PaloAlto,California,100,100,100,NA,NA,NA,NA,1,0,0
1514,2020-06-01,PalosVerdesEstates,California,150,150,150,0,0,0,0,0,1,0
1515,2020-06-01,Pampa,Florida,NA,NA,NA,NA,NA,NA,NA,1,0,0
1516,2020-06-01,ParkCity,Utah,300,300,300,0,0,0,0,1,1,0
1517,2020-06-01,Patchogue,NewYork,100,100,100,0,0,0,0,0,1,1
1518,2020-06-01,PawleysIsland,SouthCarolina,100,100,100,NA,NA,NA,NA,1,0,0
1519,2020-06-01,PennYan,NewYork,20,20,20,NA,NA,NA,NA,1,0,0
