date,state_col,trendline_a_little_concerned,trendline_extremely_concerned,trendline_moderately_concerned,trendline_not_concerned_at_all,trendline_unsure,ci_low_a_little_concerned,ci_low_extremely_concerned,ci_low_moderately_concerned,ci_low_not_concerned_at_all,ci_low_unsure,ci_high_a_little_concerned,ci_high_extremely_concerned,ci_high_moderately_concerned,ci_high_not_concerned_at_all,ci_high_unsure
2020-02-25,Alabama,0.360207974817655,0.146850063384551,0.217203853290791,0.267880873788191,0.00785723471881143,0.219867841679476,0.0857743020044216,0.125923975283087,0.160206749995407,0.00399292052740846,0.512098181751373,0.226775839156342,0.337071082559144,0.397699783818873,0.0135955269491515
2020-02-26,Alabama,0.35404099480063,0.148938385316831,0.217485562407756,0.271647202199781,0.00788785527500321,0.218900232103816,0.0879912302727067,0.128030669549082,0.164977432650087,0.00405416163979202,0.503034497118606,0.229103001426918,0.332906686917061,0.396719926020736,0.0135342858367679
2020-02-27,Alabama,0.347870021067072,0.151033756307873,0.217768605163882,0.275409093136054,0.00791852432511881,0.217933957179952,0.0902087109891725,0.130144284944393,0.169755279016217,0.00411542795551418,0.493912596149135,0.231492822497673,0.328744304541669,0.395681250306207,0.0134731272353143
2020-02-28,Alabama,0.34204595561217,0.152178972122875,0.218883200235167,0.278979471853412,0.00791240017637548,0.215643525549949,0.0926155014452991,0.132820537945226,0.172994953701435,0.00413992455048748,0.486134927245113,0.229410611924942,0.329417960903434,0.398069668316104,0.013411885747881
2020-02-29,Alabama,0.336221890157268,0.15333031208662,0.219997795306452,0.282549850570771,0.00790015187888883,0.213353093919945,0.0950222919014257,0.135496790946058,0.176240752535398,0.00416442114546078,0.478296016853657,0.227328401352212,0.3300916172652,0.400458086326001,0.013411885747881
2020-03-01,Alabama,0.340355690559012,0.152687276468571,0.225301308118172,0.273767821272843,0.00788790358140218,0.218576992798001,0.0954081132722552,0.139636715496546,0.171623144382931,0.00417054529420411,0.480500710401254,0.226715986477879,0.334684728822694,0.388087305864485,0.0132894027730146
2020-03-02,Alabama,0.344481257157555,0.152043309714678,0.230609532791554,0.264984169172449,0.00788173116376486,0.223799521094501,0.0957994721016113,0.143781883654135,0.167004513469983,0.00417664386455916,0.482702447807262,0.22604094580774,0.339275762604952,0.37565298336079,0.0131668391624666
2020-03-03,Alabama,0.343889324383911,0.152773014550977,0.232668659056391,0.262781098427319,0.00788790358140218,0.224327568467983,0.0979557591494782,0.146550879427759,0.166037920729019,0.00416442114546078,0.47854098280339,0.225368673754348,0.341482533927784,0.371429621282642,0.0131669197981481
2020-03-04,Alabama,0.343289157807065,0.153501788251433,0.234732497182892,0.260576404879722,0.00790015187888883,0.224854245259909,0.100117583655872,0.149318994659742,0.165070305227573,0.00415829699671746,0.474315320170496,0.224633775905149,0.343687227475381,0.367142717162314,0.0132281612855813
2020-03-05,Alabama,0.335823820488952,0.157335505364754,0.233372936161873,0.265592082700505,0.00787565528391554,0.221822791631963,0.10359610014208,0.149086277007496,0.169987996668463,0.00415829699671746,0.462005781196414,0.227634608789378,0.337134388320024,0.369286169222478,0.0131669197981481
