date,state_col,trendline_completely_satisfied,trendline_mostly_satisfied,trendline_not_satisfied_at_all,trendline_not_very_satisfied,trendline_unsure,ci_low_completely_satisfied,ci_low_mostly_satisfied,ci_low_not_satisfied_at_all,ci_low_not_very_satisfied,ci_low_unsure,ci_high_completely_satisfied,ci_high_mostly_satisfied,ci_high_not_satisfied_at_all,ci_high_not_very_satisfied,ci_high_unsure
2020-04-21,Ohio,0.275608244227491,0.525362880314066,0.0756753964564285,0.106927010692701,0.0164264683093135,0.181905057079395,0.407304096285965,0.0426674931556382,0.0630972674208378,0.0101244899013379,0.384007438400744,0.6384885582933,0.122165401105429,0.16589183325585,0.025698641458753
2020-04-22,Ohio,0.279825399695224,0.515742438722008,0.0790867060980964,0.108789420667924,0.0165560348167472,0.186016478549474,0.396750781310535,0.0446315571970969,0.0640803781284707,0.0102538936384534,0.389906242735749,0.630033318697213,0.127876643334969,0.167910736885606,0.0259059327943797
2020-04-23,Ohio,0.280334728033473,0.507851645229609,0.0825972415930575,0.112557466811302,0.0166589183325585,0.185701740792396,0.389534583397903,0.0460767601632316,0.0666615011105945,0.0103052843638618,0.391807428069632,0.622501162250116,0.134072007851645,0.173097783976445,0.0260860581641614
2020-04-24,Ohio,0.280851283640684,0.499948344439279,0.0861098197220931,0.116328322743943,0.0167622294540007,0.185365979647709,0.382354460457668,0.0475489436437833,0.0692442791466501,0.0103569399245829,0.393744511596673,0.614959450384834,0.140270675138179,0.178314995609277,0.0262410248463247
2020-04-25,Ohio,0.280910194488209,0.498334065139344,0.0867835834387995,0.1174161221169,0.0165560348167472,0.186507219051063,0.380840457680089,0.0481183976031201,0.0700209210424361,0.0102280651910014,0.393212284009608,0.612883229589069,0.140894180850789,0.180075935635509,0.0259834181367358
2020-04-26,Ohio,0.280987679830565,0.496732701397319,0.0874551230725521,0.118475088462433,0.016349407237131,0.187643670738952,0.379342407727871,0.0486866234470646,0.0707957744659968,0.0101247514011933,0.392644058165664,0.610791125345455,0.141514063589638,0.181832270062247,0.0256993052147635
2020-04-27,Ohio,0.268564196606142,0.508226360513469,0.0889015161298654,0.118268460882816,0.0160394658677067,0.177880517602087,0.39029366944753,0.0490223932639409,0.0700209210424361,0.00989229537412506,0.376914533667381,0.621974843092182,0.144200222124648,0.181573985587726,0.0252343931606271
2020-04-28,Ohio,0.256166541829171,0.51972001962962,0.0903479091871787,0.118036004855748,0.0157295244982824,0.168143192912674,0.401244931167188,0.0493323346333652,0.0692460676188754,0.00965983934705685,0.361185009169099,0.633158560838908,0.146886380659659,0.181315701113206,0.0247436526590387
2020-04-29,Ohio,0.255030090141282,0.514838443061188,0.0940672056202702,0.120412222021334,0.0156520391559263,0.167265025699305,0.399075341581217,0.0522767776428959,0.0712606865201333,0.0096081824521528,0.357982281685048,0.627812072216339,0.150760647777462,0.185267453573366,0.0247178242115866
2020-04-30,Ohio,0.253912908724624,0.509943695438814,0.0978098042254249,0.122759440053722,0.0155741515574152,0.1663825610827,0.396921328581022,0.0552197944108683,0.0732734128828968,0.00958210651376621,0.354796218812955,0.622449506689395,0.154656748799008,0.189240146701792,0.0246913580246914
2020-05-01,Ohio,0.248779605857892,0.49750755482088,0.105509207841517,0.132577420771237,0.0156262107084743,0.16171190949712,0.384792210140248,0.0598961696412429,0.0792416767828086,0.0096081824521528,0.348244956995635,0.610868610687812,0.166593486065553,0.202159258206989,0.0247178242115866
2020-05-02,Ohio,0.243665573262391,0.485058243149004,0.11320608518222,0.142392230803006,0.0156778676033784,0.157036960508304,0.372652839837797,0.0645711186300591,0.085182219696774,0.00965983934705685,0.341658702895369,0.599245809334401,0.178526228788388,0.215073481933001,0.0247436526590387
2020-05-03,Ohio,0.237957486375494,0.490017305059793,0.110829868016633,0.145724100524318,0.0154712400237622,0.153240178732856,0.377146989694449,0.0635379807319782,0.0876359222047163,0.00950486866234471,0.336596327194772,0.605083038458558,0.174109564274091,0.219774259369269,0.0243045690523543
2020-05-04,Ohio,0.232275227936049,0.494950538523129,0.108479479298499,0.149055970245628,0.015238783996694,0.149443396957409,0.381641139551102,0.0625306712813493,0.0900896247126585,0.00932406953018054,0.331508123046724,0.610946096030168,0.169692899759795,0.224475036805538,0.0238654854456699
2020-05-05,Ohio,0.224377518338671,0.502582911457795,0.107010021696456,0.150997003822709,0.0150325446843682,0.143351585907635,0.388676516169026,0.0618090711850398,0.0915383820642628,0.00916933567517306,0.321985742328753,0.616540964975721,0.167785928298378,0.227580328546337,0.0235303233805145
