date,state,completely_satisified,mostly_satisified,not_very_satisfied,not_satisfied_at_all,unsure,ci_low_completely_satisified,ci_low_mostly_satisified,ci_low_not_very_satisfied,ci_low_not_satisfied_at_all,ci_low_unsure,ci_high_completely_satisified,ci_high_mostly_satisified,ci_high_not_very_satisfied,ci_high_not_satisfied_at_all,ci_high_unsure
2020-05-23,Nebraska,0.13741891430522302,0.333219528849436,0.20211676340047802,0.30624786616592603,0.020996927278934003,0.06715602594742201,0.22016046432229402,0.104353021509047,0.21090815978149502,0.011676340047797001,0.235575281666097,0.463980880846705,0.339364970979856,0.41464663707750005,0.033799931717309
2020-05-24,Nebraska,0.135541140320928,0.33714578354387104,0.20245817685216802,0.30385797200409603,0.020996927278934003,0.06579037214066201,0.22492318197336902,0.105001707067258,0.207647661317855,0.011590986684875002,0.23301468077842202,0.46961420279959004,0.340559918060771,0.41174462273813506,0.034141345168999006
2020-05-25,Nebraska,0.138466791872972,0.32934949632917804,0.208127027488475,0.303056172101758,0.021000512207614,0.066860167321154,0.21630527573843203,0.107461157589209,0.206522110295373,0.011661260030732002,0.2397131637357,0.46064538159467305,0.35052074440840003,0.413180809288031,0.034147174321324004
2020-05-26,Nebraska,0.14134516899965802,0.32144076476613104,0.21372482075793703,0.302321611471491,0.021167634004779,0.06790713554114,0.207613519972686,0.109883919426425,0.20532604984636302,0.011727552065551,0.24632980539433202,0.45151928986002005,0.360361898258791,0.41430522362581,0.034312051894844
2020-05-27,Nebraska,0.142369409354728,0.31836804370092103,0.209627859337657,0.308467053601912,0.021167634004779,0.069204506657562,0.20506998975759602,0.108398770911573,0.209986343461932,0.011727552065551,0.24667121884602203,0.44810515534312,0.35404574940252603,0.41993854557869503,0.034312051894844
2020-05-28,Nebraska,0.14324739627795802,0.31534915485743503,0.205565989414376,0.31466621137100903,0.021171248079221,0.070496841386375,0.20257811166126,0.10693187638722901,0.21466621137100902,0.011746627966535,0.24722554208639202,0.444937681406863,0.347788970462694,0.42547379204370805,0.034488646064538005
2020-05-29,Nebraska,0.13795458425815202,0.322007853850093,0.206590404644015,0.312275909168516,0.021171248079221,0.067355301348813,0.20713675943315601,0.10689772921290701,0.212019805361106,0.011661260030732002,0.23920095612088102,0.45227932388594805,0.351374423766433,0.42427864094246204,0.034830117807751006
2020-05-30,Nebraska,0.13263912598156302,0.328439740525776,0.20757937862751702,0.31000341413451604,0.021338340730624003,0.064202799590303,0.211659269375213,0.10686241037896801,0.20935472857630502,0.011556845339706,0.23096620006828203,0.45971321270058,0.354899283031751,0.42301126664390504,0.034994878798224
2020-05-31,Nebraska,0.13061294177906702,0.330203175687211,0.21205395253542703,0.305787946047464,0.021341983950828,0.06226737237493501,0.209953901314666,0.10903192760799,0.204678162882021,0.011541744920607002,0.23083489841215601,0.46508451425644504,0.36093563257640404,0.41932730066586904,0.035000853679358006
2020-06-01,Nebraska,0.128690902884451,0.33179723502304104,0.21658986175115202,0.301587301587301,0.021334698754053003,0.060317460317460006,0.20812425328554301,0.11114524662911701,0.19989759344598002,0.011537805086192001,0.23058542413381103,0.470216760539341,0.36678614097968903,0.41542925413893106,0.034988905956647005
2020-06-02,Nebraska,0.12837145783543802,0.322294298395356,0.22721065209969202,0.300614544213042,0.021509047456469,0.05979856606350201,0.20069989757596401,0.11727552065551301,0.19849778081256403,0.011625128030044,0.22994195971321202,0.460908159781495,0.37965175827927605,0.41430522362581,0.035336292249914004
2020-06-03,Nebraska,0.128178870114354,0.312681344939409,0.23775388291517302,0.299709848096944,0.021676053934118002,0.05927632701826201,0.19320703191670902,0.12338282983444201,0.197030209933435,0.011725550435227002,0.229220003413551,0.45127154804574104,0.39255845707458603,0.413039767878477,0.035671616316777004
2020-06-04,Nebraska,0.12463718627283502,0.316202834215468,0.24073757896534,0.29690968072392004,0.021512719822434002,0.057452620795629,0.19593648625576202,0.12431278811678301,0.19352911046610802,0.011729554379375002,0.22400546354789103,0.456889192419327,0.39832678845825503,0.41164418644357104,0.035342325422571
2020-06-05,Nebraska,0.12105173296909601,0.31961755164760103,0.24364008878265303,0.29417790677821404,0.021512719822434002,0.055608673382277006,0.19861703943998602,0.125217688236298,0.18996073074953002,0.011729554379375002,0.218541915656479,0.46235274031073903,0.40396107222127303,0.41027829947071803,0.034830117807751006
2020-06-06,Nebraska,0.122908842608398,0.32092864458859605,0.242232843974052,0.292249914646637,0.021679754182314003,0.055616251280300004,0.198805052919085,0.12405257767156001,0.188118811881188,0.011864117446227,0.222260157050187,0.46415158757255004,0.40303857972004103,0.410208262205531,0.035506998975759
2020-06-07,Nebraska,0.12478661659269301,0.32212359166951104,0.24086719016729202,0.290201433936497,0.022021167634004003,0.05563332195288401,0.199044042335268,0.122891771935814,0.18630932058723101,0.011983612154318,0.226186411744622,0.46585865483100003,0.402185046090816,0.41037896893137504,0.036019119153294005
2020-06-08,Nebraska,0.12137248207579301,0.318197336975076,0.24513485831341703,0.293274155001707,0.022021167634004003,0.053857972004096005,0.195834755889382,0.12494025264595401,0.18796517582792702,0.012034824172072,0.22038238306589203,0.460908159781495,0.40781836804370003,0.41362239672243,0.036189825879139
2020-06-09,Nebraska,0.117958347558893,0.31427108228064105,0.24940252645954203,0.29617616934107205,0.022191874359849,0.05206555138272401,0.19260839877091102,0.126988733356094,0.18962103106862402,0.012086036189825,0.21457835438716202,0.456128371457835,0.41345168999658505,0.41703653123933004,0.036531239330829
2020-06-10,Nebraska,0.11847046773642801,0.31119836121543104,0.25008535336292204,0.298053943325367,0.022191874359849,0.052031410037555,0.189194264254011,0.12659610788665002,0.19066234209627803,0.012068965517241001,0.21509047456469702,0.452372823489245,0.41396381017412004,0.419255718675315,0.036701946056674005
2020-06-11,Nebraska,0.11881188118811802,0.30812564015022104,0.25076818026630204,0.299931717309662,0.022362581085694003,0.051980198019801006,0.185763059064527,0.126186411744622,0.19172072379651703,0.012051894844656,0.21577330146807702,0.44861727552065506,0.41464663707750005,0.42130419938545505,0.037043359508364
