Date,Location,Attendees,Event (legacy; see tags),Tags,Curated,Source,Total Articles,City,State Name,State Code
2020-05-25,"State House, Boston, MA",30.0,Racial Injustice,Civil Rights; For racial justice; Coronavirus,Yes,https://www.boston.com/news/coronavirus/2020/05/26/massachusetts-reopening-protest-boston,3,"State House, Boston",Massachusetts,MA
2020-05-27,"Memphis, TN",70.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://hosted.ap.org/clevelandbanner/article/911b2a1d5e1a68b244b3bbe81712da11/memphis-police-investigate-incident-floyd-protest,36,Memphis,Tennessee,TN
2020-05-27,"Downtown, Los Angeles, CA",200.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.latimes.com/california/story/2020-05-27/protestors-block-the-101-freeway,39,"Downtown, Los Angeles",California,CA
2020-05-27,"Olympia, WA",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.king5.com/article/news/local/seattle/seattle-protest-death-of-george-floyd/281-bba2f836-c4a2-48e1-b5df-189527e08a7d,1,Olympia,Washington,WA
2020-05-27,"South Sacramento, CA",20.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://fox40.com/news/local-news/sacramento-protesters-join-countrywide-demonstrations-to-demand-justice-for-george-floyd/,3,South Sacramento,California,CA
2020-05-27,"Duluth, MN",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.duluthnewstribune.com/news/6514070-Protesters-march-for-George-Floyd-in-Duluth,4,Duluth,Minnesota,MN
2020-05-27,"Willingboro, NJ",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.courierpostonline.com/story/news/2020/05/30/burlington-county-protesters-demand-justice-for-floyd/5294343002/,2,Willingboro,New Jersey,NJ
2020-05-27,"Chadron, NE",20.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.omaha.com/news/local/from-grand-island-to-chadron-towns-across-nebraska-rally-silence-is-violence/article_48fb898e-15dc-5394-a836-945c8eca211d.html,1,Chadron,Nebraska,NE
2020-05-27,"Ypsilanti, MI",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.mlive.com/news/ann-arbor/2020/05/day-of-rest-postpones-police-brutality-protest-in-ypsilanti-township-to-monday.html,1,Ypsilanti,Michigan,MI
2020-05-28,"Union Square Park, New York, NY",200.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.nydailynews.com/new-york/nyc-crime/ny-protest-union-square-george-floyd-20200528-t5wka5sycjhu5kqxusu7zzy6ju-story.html,48,"Union Square Park, New York",New York,NY
2020-05-28,"Minnesota Square Park, St. Peter, MN",300.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.mankatofreepress.com/news/hundreds-protest-in-st-peter-over-the-death-of-george-floyd/article_636411dc-a153-11ea-89b1-df137400cd26.html,3,"Minnesota Square Park, St. Peter",Minnesota,MN
2020-05-28,"State Capitol, Denver, CO",1000.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://the-journal.com/articles/177539,82,"State Capitol, Denver",Colorado,CO
2020-05-28,"Chicago, IL",20.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.chicagotribune.com/news/criminal-justice/ct-chicago-george-floyd-police-protest-20200528-feeoz7qiincjxnc3ixjxmqpjwe-story.html,2,Chicago,Illinois,IL
2020-05-28,"St. Paul, MN",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.mic.com/p/protests-over-george-floyds-death-are-escalating-in-minneapolis-beyond-22942046,25,St. Paul,Minnesota,MN
2020-05-28,"Pittsfield Charter Township, MI",300.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.mlive.com/news/ann-arbor/2020/05/free-shateina-continued-incarceration-of-ypsilanti-woman-leads-300-protesters-to-block-streets-again.html,3,Pittsfield Charter Township,Michigan,MI
2020-05-28,"State Capitol, Lansing, MI",50.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.detroitnews.com/story/news/politics/2020/05/28/we-have-arm-ourselves-michigan-demonstrators-protest-brutality/5275209002/,1,"State Capitol, Lansing",Michigan,MI
2020-05-28,"Phoenix, AZ",200.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.azcentral.com/story/news/local/phoenix/2020/05/29/8-arrested-phoenix-protest-police-chief-jeri-williams-condemns-george-floyd-death-minneapolis/5284290002/,37,Phoenix,Arizona,AZ
2020-05-28,"Omaha, NE",40.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.omaha.com/news/local/watch-now-omahans-rally-to-protest-death-of-george-floyd-black-minneapolis-man-at-hands/article_7a1b1c26-5c1e-5b06-88fa-c827fbaf33c5.html,3,Omaha,Nebraska,NE
2020-05-28,"Framingham, MA",30.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.metrowestdailynews.com/news/20200528/framingham-high-alums-hold-protest-over-george-floyds-death,2,Framingham,Massachusetts,MA
2020-05-28,"Minneapolis, MN",1000.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.startribune.com/minneapolis-police-station-set-on-fire-protesters-march-downtown/570849592/,147,Minneapolis,Minnesota,MN
2020-05-28,"Kelly Ingram Park, Birmingham, AL",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.al.com/news/birmingham/2020/05/we-should-be-fed-up-birmingham-activists-protest-george-floyds-death.html,3,"Kelly Ingram Park, Birmingham",Alabama,AL
2020-05-28,"Louisville, KY",500.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.courier-journal.com/story/news/2020/05/28/breonna-taylor-shooting-protesters-rally-downtown-louisville/5280279002/,81,Louisville,Kentucky,KY
2020-05-28,"Statehouse, Columbus, OH",400.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.thedenverchannel.com/news/national/columbus-protest-over-george-floyds-death-turns-violent,49,"Statehouse, Columbus",Ohio,OH
2020-05-28,"Downtown, Los Angeles, CA",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.smdp.com/george-floyd-protesters-march-from-santa-monica-to-venice/192147,21,"Downtown, Los Angeles",California,CA
2020-05-28,"Fort Collins, CO",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.coloradoan.com/story/news/2020/05/28/george-floyd-death-fort-collins-police-nationwide-protests-violence-brutality/5280671002/,1,Fort Collins,Colorado,CO
2020-05-28,"St. Louis, MO",15.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,http://www.stlamerican.com/news/local_news/minneapolis-police-killing-of-george-floyd-protested-in-st-louis/article_0cc91eaa-a179-11ea-98c0-cbbb8de6e805.html,2,St. Louis,Missouri,MO
2020-05-28,"Memphis, TN",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://dailymemphian.com/article/14459/jim-strickland-george-floyd-memphis-protest,24,Memphis,Tennessee,TN
2020-05-28,"Blaine, MN",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.hometownsource.com/abc_newspapers/news/publicsafety/police-minimal-damage-at-northtown-mall-after-crowd-gathered-to-protest-may-28/article_27436088-a1ec-11ea-8c7b-27d19de7c5db.html,1,Blaine,Minnesota,MN
2020-05-28,"Apple Valley, MN",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/,1,Apple Valley,Minnesota,MN
2020-05-28,"Maplewood, MN",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/,1,Maplewood,Minnesota,MN
2020-05-28,"Roseville, MN",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/,1,Roseville,Minnesota,MN
2020-05-28,"St. Anthony, MN",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/,1,St. Anthony,Minnesota,MN
2020-05-28,"Fridley, MN",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/,1,Fridley,Minnesota,MN
2020-05-28,"West St. Paul, MN",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/,1,West St. Paul,Minnesota,MN
2020-05-28,"Fontana, CA",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.latimes.com/california/story/2020-05-29/fontana-protest-over-george-floyds-death-ends-in-9-arrests-police-say,12,Fontana,California,CA
2020-05-28,"Oakland, CA",60.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://abc7news.com/oakland-protest-george-floyd-black-lives-matter-minneapolis/6219682/,6,Oakland,California,CA
2020-05-28,"City Hall, San Jose, CA",5.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.nbcbayarea.com/news/local/demonstrations-in-bay-area-over-george-floyds-death/2298701/,1,"City Hall, San Jose",California,CA
2020-05-28,"Hayward, CA",50.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://sanfrancisco.cbslocal.com/2020/05/28/demonstrators-protest-hayward-police-shooting-man-driveway/,1,Hayward,California,CA
2020-05-28,"Windermere, FL",10.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.somerset-kentucky.com/news/minnesota-governor-acknowledges-abject-failure-in-protest-response/article_c3a40512-a1cf-11ea-b2f9-3b7725a3f3eb.html,2,Windermere,Florida,FL
2020-05-28,"Las Vegas, NV",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.ktnv.com/news/peaceful-demonstration-in-las-vegas-for-justice-after-george-floyds-death,2,Las Vegas,Nevada,NV
2020-05-28,"Portland, OR",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.kptv.com/news/naacp-hosts-rally-in-downtown-portland-to-honor-victims-of-police-brutality/article_208d325c-a1e0-11ea-add0-2ff515c4131e.html,13,Portland,Oregon,OR
2020-05-28,"Albuquerque, NM",400.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.abqjournal.com/1460985/local-leaders-defend-apd-response-to-protest-ex-mayor-we-stand-with-those-grieving-around-the-nation.html?utm_source=abqjournal.com&utm_medium=sidebar+-+popular+posts+-+home&utm_campaign=popular+posts,8,Albuquerque,New Mexico,NM
2020-05-28,"Wilson Park, Vallejo, CA",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.timesheraldonline.com/about-100-march-to-vallejo-police-station-to-protest-floyd-death,2,"Wilson Park, Vallejo",California,CA
2020-05-28,"Brainerd, MN",60.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.brainerddispatch.com/news/6511578-Over-60-gather-at-6th-and-Washington-in-Brainerd-to-protest-racial-injustice,1,Brainerd,Minnesota,MN
2020-05-28,"Boston, MA",20.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.masslive.com/springfield/2020/05/george-floyds-death-in-minneapolis-prompts-hundreds-to-protest-police-brutality-outside-springfield-police-headquarters.html,1,Boston,Massachusetts,MA
2020-05-28,"Johnson City, TN",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.johnsoncitypress.com/law-enforcement/2020/05/29/Black-Lives-Matter-protestors-march-in-Johnson-City-for-second-straight-day.html,1,Johnson City,Tennessee,TN
2020-05-28,"Willingboro, NJ",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.courierpostonline.com/story/news/2020/05/30/burlington-county-protesters-demand-justice-for-floyd/5294343002/,2,Willingboro,New Jersey,NJ
2020-05-28,"Ypsilanti, MI",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.mlive.com/news/ann-arbor/2020/05/day-of-rest-postpones-police-brutality-protest-in-ypsilanti-township-to-monday.html,1,Ypsilanti,Michigan,MI
2020-05-28,"Ann Arbor, MI",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.mlive.com/news/ann-arbor/2020/06/ann-arbor-protesters-decry-violent-police-incidents-in-ypsilanti-township-minnesota.html,2,Ann Arbor,Michigan,MI
2020-05-28,"Eddy County Courthouse, Carlsbad, NM",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.currentargus.com/story/news/local/2020/06/01/george-floyd-carlsbad-sees-peaceful-protest-wake-death/5307637002/,1,"Eddy County Courthouse, Carlsbad",New Mexico,NM
2020-05-29,"Lincoln Park, Waterloo, IA",500.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,http://kwwl.com/2020/05/29/hundreds-march-for-george-floyd-in-waterloo/,9,"Lincoln Park, Waterloo",Iowa,IA
2020-05-29,"Discovery Green, Houston, TX",1000.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,http://www.oleantimesherald.com/thousands-rally-for-houston-native-george-floyd/video_59781681-ee8c-5458-b3c5-4ffb65df3966.html,39,"Discovery Green, Houston",Texas,TX
2020-05-29,"Austin, TX",75.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.kvue.com/article/news/local/protest-austin-police-department-area-downtown/269-af9e079e-32d6-4967-8f13-62fed32eeedc,17,Austin,Texas,TX
2020-05-29,"Milwaukee, WI",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.jsonline.com/story/news/2020/05/30/james-causey-dont-let-looters-obscure-message-change-must-come/5292055002/,27,Milwaukee,Wisconsin,WI
2020-05-29,"Atlanta, GA",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.ajc.com/news/crime--law/majority-protesters-arrested-last-weekend-were-from-atlanta-figures-show/uberbc97GLizAXDSVgpNEN/,82,Atlanta,Georgia,GA
2020-05-29,"City Hall, Louisville, KY",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://apnews.com/8d411463f159e217fed1f7654f9060a0,57,"City Hall, Louisville",Kentucky,KY
2020-05-29,"Lexington, KY",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.kentucky.com/news/local/counties/fayette-county/article243109411.html,10,Lexington,Kentucky,KY
2020-05-29,"Minneapolis, MN",1000.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://minnesota.cbslocal.com/2020/05/29/athletes-organize-take-a-knee-march-over-the-killing-of-george-floyd/,72,Minneapolis,Minnesota,MN
2020-05-29,"Country Club Plaza, Kansas City, MO",300.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.kansascity.com/news/local/article243108071.html,30,"Country Club Plaza, Kansas City",Missouri,MO
2020-05-29,"Peters Park, Boston, MA",200.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.bostonherald.com/2020/05/29/minneapolis-george-floyd-police-killing-protested-in-boston/,13,"Peters Park, Boston",Massachusetts,MA
2020-05-29,"Washington, DC",2000.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.wusa9.com/article/news/local/dc/george-floyd-protest-dc-white-house-capitol-hill-trump-hotel-highways/65-54c61594-cef6-40d8-9e14-b57adc026d5e,100,Washington,District of Columbia,DC
2020-05-29,"Brooklyn, NY",3000.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.brooklynpaper.com/attorney-general-to-review-nypd-actions-at-barclays-protest/,61,Brooklyn,New York,NY
2020-05-29,"Millennium Park, Chicago, IL",200.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.chicagotribune.com/news/breaking/ct-floyd-protest-bean-downtown-20200529-cz2zy4fuvzaova2lmqycdxe5gi-story.html,16,"Millennium Park, Chicago",Illinois,IL
2020-05-29,"East Lake Park, Phoenix, AZ",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.azcentral.com/story/news/local/phoenix-breaking/2020/05/30/phoenix-protesters-gather-second-night-protests/5289925002/,24,"East Lake Park, Phoenix",Arizona,AZ
2020-05-29,"Des Moines, IA",1000.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.iowastatedaily.com/news/iowa-des-moines-protest-riot-police-george-floyd-derek-chauvin/article_ee7cf8e6-a244-11ea-8156-2748a7495eda.html,23,Des Moines,Iowa,IA
2020-05-29,"Foley Square, New York, NY",1000.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.newsday.com/long-island/george-floyd-protests-minneapolis-li-1.45055017,47,"Foley Square, New York",New York,NY
2020-05-29,"Martin Luther King Park, Norfolk, VA",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.wavy.com/news/local-news/norfolk/hundreds-gather-at-norfolk-police-operations-center-to-protest-police-brutality-following-george-floyd-death/,7,"Martin Luther King Park, Norfolk",Virginia,VA
2020-05-29,"Fort Monroe, Hampton, VA",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.dailypress.com/news/dp-nw-police-brutality-protests-20200530-mkj7v7fvsrfevj2izeiciah5yu-story.html,11,"Fort Monroe, Hampton",Virginia,VA
2020-05-29,"White Plains, NY",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,http://westchester.news12.com/story/42188438/your-officers-cannot-act-with-impunity-vigil-held-to-protest-minnesota-death-of-george-floyd,1,White Plains,New York,NY
2020-05-29,"San Marcos, TX",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.kvue.com/article/news/local/george-floyd-protest-san-marcos/269-a7d8f987-0210-49e6-847c-797f417b6c57,4,San Marcos,Texas,TX
2020-05-29,"Springfield, MA",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.wwlp.com/news/local-news/hampden-county/peaceful-protest-in-springfield-to-honor-george-floyd/,2,Springfield,Massachusetts,MA
2020-05-29,"Rochester, MN",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.kimt.com/content/news/Hours-after-arrest-of-former-police-officer-protesters-gather-at-Rochester-LEC-570872271.html,2,Rochester,Minnesota,MN
2020-05-29,"Windermere, FL",200.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.orlandosentinel.com/news/crime/os-ne-george-floyd-derek-chauvin-orange-county-house-20200529-wacqubxih5fd7edy2n5p2kbr5i-story.html,5,Windermere,Florida,FL
2020-05-29,"New London, CT",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.theday.com/article/20200529/NWS01/200529402,1,New London,Connecticut,CT
2020-05-29,"Jackson, MS",20.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.clarionledger.com/story/news/2020/06/01/jackson-ms-protest-peaceful-gov-reeves-vows-action-against-violence/5309018002/,3,Jackson,Mississippi,MS
2020-05-29,"Petal, MS",200.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://apnews.com/d801ac536d542ac570d3f8c1b470b84f,5,Petal,Mississippi,MS
2020-05-29,"Las Vegas, NV",400.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.reviewjournal.com/local/the-strip/2-photojournalists-including-review-journal-staffer-arrested-covering-george-floyd-protest-2039655/,36,Las Vegas,Nevada,NV
2020-05-29,"St. Louis, MO",200.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.stltoday.com/news/local/metro/several-hundred-protesters-gather-in-st-louis-to-protest-deadly-arrest-in-minneapolis/article_1dad790b-137f-5da1-8875-5363540b63ab.html,27,St. Louis,Missouri,MO
2020-05-29,"Morgantown, WV",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.dominionpost.com/2020/05/29/black-lives-matter-protesters-fight-against-police-brutality-at-morgantowns-public-safety-building/,1,Morgantown,West Virginia,WV
2020-05-29,"City Hall, Memphis, TN",200.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://dailymemphian.com/article/14459/jim-strickland-george-floyd-memphis-protest,11,"City Hall, Memphis",Tennessee,TN
2020-05-29,"Burrus Old Mill Park, Blue Springs, MO",10.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://fox4kc.com/news/blue-springs-teens-one-person-protest-inspires-others-growing-even-larger/,1,"Burrus Old Mill Park, Blue Springs",Missouri,MO
2020-05-29,"Ann Arbor, MI",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.mlive.com/news/ann-arbor/2020/05/ypsilanti-woman-shown-being-punched-by-deputy-released-from-jail-will-speak-at-friday-protest.html,4,Ann Arbor,Michigan,MI
2020-05-29,"Columbus, OH",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.cleveland.com/news/2020/05/5-arrested-in-second-night-of-george-floyd-protests-in-columbus.html,17,Columbus,Ohio,OH
2020-05-29,"Detroit, MI",1500.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.mlive.com/news/2020/05/police-brutality-protests-in-michigan-what-you-need-to-know-from-this-weekends-rallies-riots.html,79,Detroit,Michigan,MI
2020-05-29,"Terry Schrunk Plaza, Portland, OR",1000.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://apnews.com/5b98554db35171ef461efbb6594285ac,14,"Terry Schrunk Plaza, Portland",Oregon,OR
2020-05-29,"Monroe Park, Richmond, VA",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.wtvr.com/hundreds-gather-in-richmond-to-protest-george-floyds-death,24,"Monroe Park, Richmond",Virginia,VA
2020-05-29,"Bakersfield, CA",200.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.bakersfield.com/news/man-who-allegedly-drove-car-through-downtown-protesters-arrested/article_36da3f10-a27f-11ea-b65c-df4893d5b24a.html,10,Bakersfield,California,CA
2020-05-29,"City Hall, Portland, ME",200.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://bangordailynews.com/2020/05/29/news/portland/mainers-take-to-the-street-in-portland-to-protest-the-death-of-george-floyd/,5,"City Hall, Portland",Maine,ME
2020-05-29,"Oakland, CA",7500.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.wsbtv.com/news/trending/police-precinct-overrun-by-protesters-minneapolis/T6EPJMZFNJHGXMRKXDUXRITKTA/,79,Oakland,California,CA
2020-05-29,"City Hall, San Jose, CA",1000.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.sfgate.com/news/article/9-arrested-in-California-protest-over-George-15303074.php,47,"City Hall, San Jose",California,CA
2020-05-29,"Downtown, Los Angeles, CA",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.latimes.com/california/story/2020-05-30/a-night-of-vandalism-looting-and-despair-in-downtown-this-is-all-depressing,42,"Downtown, Los Angeles",California,CA
2020-05-29,"State Capitol, Denver, CO",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://denverite.com/2020/05/29/denver-protest-george-floyd-friday/,41,"State Capitol, Denver",Colorado,CO
2020-05-29,"Dallas, TX",1000.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://interactives.dallasnews.com/2020/george-floyd-dallas-rally-and-march-liveblog/,23,Dallas,Texas,TX
2020-05-29,"Fort Worth, TX",200.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.star-telegram.com/latest-news/article243122191.html,4,Fort Worth,Texas,TX
