Date,Location,Attendees,Event (legacy; see tags),Tags,Curated,Source,Total Articles,City,State Name,State Code
2020-05-25,"State House, Boston, MA",30.0,Racial Injustice,Civil Rights; For racial justice; Coronavirus,Yes,https://www.boston.com/news/coronavirus/2020/05/26/massachusetts-reopening-protest-boston,3,"State House, Boston",Massachusetts,MA
2020-05-25,"Tulsa, OK",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://kfor.com/news/local/protester-hit-by-vehicle-during-protest-in-tulsa-over-george-floyds-death/,1,Tulsa,Oklahoma,OK
2020-05-26,"Powderhorn, Minneapolis, MN",1000.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.startribune.com/police-protesters-must-show-more-restraint-in-minneapolis/570815512/,57,"Powderhorn, Minneapolis",Minnesota,MN
2020-05-26,"Ann Arbor, MI",20.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.mlive.com/news/ann-arbor/2020/05/ypsilanti-woman-shown-being-punched-by-deputy-released-from-jail-will-speak-at-friday-protest.html,4,Ann Arbor,Michigan,MI
2020-05-26,"St. Paul, MN",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.cbsnews.com/news/protesters-gather-at-intersection-where-george-floyd-was-pinned-down-by-minneapolis-police/,2,St. Paul,Minnesota,MN
2020-05-26,"Emancipation Park, Houston, TX",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.houstonchronicle.com/news/houston-texas/houston/article/Black-Lives-Matter-rally-to-be-held-at-Discovery-15301848.php,3,"Emancipation Park, Houston",Texas,TX
2020-05-26,"Hammond, IN",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.nwitimes.com/news/local/watch-now-protesters-march-down-street-in-hammond/video_66a15098-7fbf-5be9-b034-6f5a396b9fe1.html,1,Hammond,Indiana,IN
2020-05-26,"Downtown, Los Angeles, CA",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.latimes.com/california/story/2020-05-29/protesters-outraged-over-george-floyd-death-shut-down-101-freeway-in-san-jose,1,"Downtown, Los Angeles",California,CA
2020-05-26,"Ypsilanti, MI",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.mlive.com/news/ann-arbor/2020/05/day-of-rest-postpones-police-brutality-protest-in-ypsilanti-township-to-monday.html,1,Ypsilanti,Michigan,MI
2020-05-27,"Ann Arbor, MI",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.mlive.com/news/ann-arbor/2020/05/outraged-residents-block-streets-in-protest-over-washtenaw-deputy-accused-of-punching-black-woman.html,3,Ann Arbor,Michigan,MI
2020-05-27,"Powderhorn, Minneapolis, MN",8000.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://abcnews.go.com/US/dangerous-protests-erupt-overnight-george-floyds-death-minneapolis/story?id=70924047,56,"Powderhorn, Minneapolis",Minnesota,MN
2020-05-27,"Oakdale, St. Paul, MN",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.washingtonpost.com/nation/2020/05/27/george-floyd-minneapolis-reaction/,7,"Oakdale, St. Paul",Minnesota,MN
