Date,Location,Attendees,Event (legacy; see tags),Tags,Curated,Source,Total Articles,City,State Name,State Code
2020-01-01,"Phoenix, AZ",,Other,Other; For greater safety; Transportation,No,https://www.12news.com/article/news/local/valley/red-light-camera-protest/75-7d006d53-459f-4f94-8da9-c624f275fbfc,1,Phoenix,Arizona,AZ
2020-01-02,"Cleveland, OH",,Other,Other; For greater safety; Transportation,No,https://fox8.com/2020/01/02/community-members-hold-protest-candlelight-vigil-after-36-year-old-mother-struck-killed-while-crossing-east-cleveland-road/,1,Cleveland,Ohio,OH
2020-01-02,"Harvard, MA",30.0,Environment,Environment; Against fossil fuels,Yes,https://www.bostonglobe.com/2020/01/03/metro/four-arrested-after-climate-activists-block-railroad-tracks-with-scaffold-town-harvard/,6,Harvard,Massachusetts,MA
2020-01-02,"City Hall, Scarborough, ME",20.0,Collective Bargaining,Collective Bargaining; For better compensation,No,https://mainebeacon.com/scarborough-teachers-rally-for-more-rights-better-pay/,1,"City Hall, Scarborough",Maine,ME
2020-01-02,"Grand Junction, CO",20.0,Executive,Executive; Against cabinet member; For firing/reassignment,Yes,https://sentinelcolorado.com/news/state-and-region/demonstrators-protest-blm-leaders-at-new-grand-junction-location/,4,Grand Junction,Colorado,CO
2020-01-02,"Winston-Salem, NC",50.0,Civil Rights,Civil Rights; For restricting access; Voting,No,https://myfox8.com/2020/01/02/blocked-voter-id-law-sparks-protest-in-winston-salem/,2,Winston-Salem,North Carolina,NC
2020-01-02,"Detroit, MI",100.0,International Relations,International; Against war; Iran,Yes,https://www.clickondetroit.com/news/local/2020/01/04/anti-war-demonstration-held-at-campus-martius/,1,Detroit,Michigan,MI
2020-01-02,"Aurora, CO",,Immigration,Immigration; Against ICE,Yes,https://sentinelcolorado.com/news/metro/aurora-drops-picketing-ordinance-change-targeting-september-geo-warden-protest/,1,Aurora,Colorado,CO
2020-01-03,"Terry Schrunk Plaza, Portland, OR",300.0,International Relations,International; Against war; Iran,Yes,https://www.oregonlive.com/politics/2020/01/hundreds-gather-in-downtown-portland-for-no-war-on-iran-protest.html,5,"Terry Schrunk Plaza, Portland",Oregon,OR
2020-01-03,"Georgetown, TX",,Other,Other; Against development; Against tree removal,No,https://www.statesman.com/news/20200103/sun-city-protest-spurs-cancellation-of-pickleball-courts,1,Georgetown,Texas,TX
2020-01-03,"Miami, FL",20.0,Executive,Executive; Against president,Yes,https://wsvn.com/news/politics/anti-trump-demonstrators-protest-outside-sw-miami-dade-mega-church-during-rally/,1,Miami,Florida,FL
2020-01-03,"Palm Beach, FL",,Guns,Guns; Against greater gun control,No,https://www.palmbeachdailynews.com/news/20200103/pro-gun-advocate-on-royal-park-bridge-ahead-of-scheduled-demonstration,1,Palm Beach,Florida,FL
2020-01-03,"Peekskill, NY",,International Relations,International; Against war; Iran,Yes,http://westchester.news12.com/story/41519361/antiwar-demonstrators-to-rally-in-hastings-for-deescalation-between-us-iran,1,Peekskill,New York,NY
2020-01-03,"Memphis, TN",,International Relations,International; Against war; Iran,Yes,https://www.usatoday.com/story/news/nation/2020/01/04/iraq-iran-tensions-protests-condemn-u-s-actions-middle-east/2807176001/,1,Memphis,Tennessee,TN
2020-01-03,"Washington Square, Salt Lake City, UT",100.0,Other,Other; For homeless residents,Yes,https://www.sltrib.com/news/2020/01/05/arrested-while-occupying/,10,"Washington Square, Salt Lake City",Utah,UT
2020-01-03,"Capitol, Washington, DC",,Environment,Environment; Against climate change,Yes,https://abcnews.go.com/Politics/jane-fonda-marches-capitol-hill-finale-fire-drill/story?id=68194683,1,"Capitol, Washington",District of Columbia,DC
2020-01-04,"Algonquin, IL",350.0,Executive,Executive; For president,No,https://www.dailyherald.com/news/20200104/hundreds-of-trump-supporters-rally-in-algonquin,7,Algonquin,Illinois,IL
2020-01-04,"Rock Island, IL",,International Relations,International; Against war; Iran,Yes,https://qctimes.com/news/local/govt-and-politics/rock-island-protest-against-war-in-the-middle-east/video_54d97de4-b464-56cb-ae2b-8c34be513a95.html,3,Rock Island,Illinois,IL
2020-01-04,"Herald Square, New York, NY",250.0,International Relations,International; Against war; Iran,Yes,https://www.silive.com/news/2020/01/protestors-march-through-times-square-to-denounce-war-with-iran.html,21,"Herald Square, New York",New York,NY
2020-01-04,"City Hall, San Jose, CA",100.0,International Relations,International; Against war; Iran,Yes,http://www.mercurynews.com/give-diplomacy-a-chance-bay-area-residents-rally-against-war-with-iran,4,"City Hall, San Jose",California,CA
2020-01-04,"San Francisco, CA",1000.0,International Relations,International; Against war; Iran,Yes,https://www.sfchronicle.com/bayarea/article/Thousands-march-in-SF-to-denounce-US-attack-and-14950030.php,12,San Francisco,California,CA
