Date,Location,Attendees,Event (legacy; see tags),Tags,Curated,Source,Total Articles,City,State Name,State Code
2020-01-04,"Atlanta, GA",100.0,International Relations,International; Against war; Iran,Yes,https://www.ajc.com/news/local/atlanta-protesters-demand-back-off-latest-middle-east-skirmish/yWiLEXRShSW6I4hr22dxcL/,3,Atlanta,Georgia,GA
2020-01-04,"Minneapolis, MN",,International Relations,International; Against war; Iran,Yes,https://www.mprnews.org/story/2020/01/04/minneapolis-marchers-protest-military-escalation-in-mideast,5,Minneapolis,Minnesota,MN
2020-01-04,"Salt Lake City, UT",170.0,International Relations,International; Against war; Iran,Yes,https://www.sltrib.com/news/2020/01/05/utahns-protest-potential,3,Salt Lake City,Utah,UT
2020-01-04,"Boston, MA",200.0,International Relations,International; Against war; Iran,Yes,https://www.bostonherald.com/2020/01/04/protestors-in-boston-rally-against-war-with-iran-after-trumps-strike/,3,Boston,Massachusetts,MA
2020-01-04,"State Capitol, Austin, TX",100.0,International Relations,International; Against war; Iran,Yes,https://www.statesman.com/news/20200104/hundreds-rally-at-capitol-to-protest-mounting-tensions-with-iran,1,"State Capitol, Austin",Texas,TX
2020-01-04,"Evansville, IN",50.0,International Relations,International; Against war; Iran,Yes,https://www.courierpress.com/story/news/2020/01/04/anti-war-protesters-speak-out-brave-cold-four-freedoms/2814094001/,1,Evansville,Indiana,IN
2020-01-04,"Iowa City, IA",100.0,International Relations,International; Against war; Iran,Yes,https://www.press-citizen.com/story/news/2020/01/04/over-100-protesters-call-deescalation-tension-iran/2814359001/,1,Iowa City,Iowa,IA
2020-01-04,"Lafayette Park, Washington, DC",1000.0,International Relations,International; Against war; Iran,Yes,https://www.santafenewmexican.com/news/local_news/anti-war-protesters-take-to-streets-in-santa-fe-across/article_9f937c3a-2f32-11ea-92cf-a3bd2b4d2283.html,15,"Lafayette Park, Washington",District of Columbia,DC
2020-01-04,"Chicago, IL",200.0,International Relations,International; Against war; Iran,Yes,https://www.gazettenet.com/Northampton-weekly-peace-vigil-31748294,14,Chicago,Illinois,IL
2020-01-04,"State Capitol, Columbia, SC",,International Relations,International; Against war; Iran,Yes,https://www.wistv.com/2020/01/04/midlands-protesters-supporters-react-tension-between-us-iran/,1,"State Capitol, Columbia",South Carolina,SC
2020-01-04,"City Hall, Philadelphia, PA",250.0,International Relations,International; Against war; Iran,Yes,https://www.inquirer.com/news/iran-anti-war-rally-city-hall-philadelphia-police-terrorism-20200104.html,13,"City Hall, Philadelphia",Pennsylvania,PA
2020-01-04,"Tulsa, OK",60.0,International Relations,International; Against war; Iran,Yes,https://www.tulsaworld.com/news/there-s-no-resolution-that-can-come-from-war-tulsans/article_896d39a0-8627-5da6-9de5-ae2989d0ad65.html,1,Tulsa,Oklahoma,OK
2020-01-04,"Bethlehem, PA",20.0,International Relations,International; Against war; Iran,Yes,https://www.lehighvalleylive.com/bethlehem/2020/01/anti-war-protest-held-in-bethlehem-while-local-lawmakers-respond-to-escalating-tension-with-iran.html,1,Bethlehem,Pennsylvania,PA
2020-01-04,"Pershing Square, Los Angeles, CA",200.0,International Relations,International; Against war; Iran,Yes,https://www.latimes.com/california/story/2020-01-04/anti-war-demonstration-downtown-los-angeles-following-us-killing-of-suleimani,5,"Pershing Square, Los Angeles",California,CA
2020-01-04,"Phoenix, AZ",60.0,International Relations,International; Against war; Iran,Yes,https://www.azcentral.com/story/news/local/phoenix/2020/01/04/dozens-gather-central-phoenix-protest-potential-war-iran/2814504001/,3,Phoenix,Arizona,AZ
2020-01-04,"Congress Square Park, Portland, ME",60.0,International Relations,International; Against war; Iran,Yes,https://www.pressherald.com/2020/01/04/demonstrators-rally-in-portland-against-possible-war-with-iran/,1,"Congress Square Park, Portland",Maine,ME
2020-01-04,"Tampa, FL",,International Relations,International; Against war; Iran,Yes,https://www.pressherald.com/2020/01/04/demonstrators-rally-in-portland-against-possible-war-with-iran/,4,Tampa,Florida,FL
2020-01-04,"Miami, FL",50.0,International Relations,International; Against war; Iran,Yes,https://www.timesunion.com/news/us/article/Protests-across-US-condemn-action-in-Iran-and-Iraq-14950045.php,6,Miami,Florida,FL
2020-01-04,"Memphis, TN",,International Relations,International; Against war; Iran,Yes,https://www.washingtonpost.com/local/protesters-rally-at-white-house-against-war-and-trump/2020/01/04/4db99502-2f0a-11ea-bcb3-ac6482c4a92f_story.html,4,Memphis,Tennessee,TN
2020-01-04,"De Anza Park, Tucson, AZ",,International Relations,International; Against war; Iran,Yes,https://www.washingtonpost.com/local/protesters-rally-at-white-house-against-war-and-trump/2020/01/04/4db99502-2f0a-11ea-bcb3-ac6482c4a92f_story.html,2,"De Anza Park, Tucson",Arizona,AZ
2020-01-04,"St. Louis, MO",150.0,International Relations,International; Against war; Iran,Yes,https://www.stltoday.com/news/local/crime-and-courts/st-louis-protesters-call-for-end-to-further-military-action/article_706acb24-54ed-517f-86d5-7661383698b7.html,3,St. Louis,Missouri,MO
2020-01-04,"Schenely Plaza, Pittsburgh, PA",200.0,International Relations,International; Against war; Iran,Yes,https://triblive.com/local/pittsburgh-allegheny/fight-breaks-up-iran-anti-war-protest-in-pittsburgh/,7,"Schenely Plaza, Pittsburgh",Pennsylvania,PA
2020-01-04,"Hampshire County Courthouse, Northampton, MA",200.0,International Relations,International; Against war; Iran,Yes,https://www.gazettenet.com/Northampton-weekly-peace-vigil-31748294,1,"Hampshire County Courthouse, Northampton",Massachusetts,MA
2020-01-04,"Cincinnati, OH",,International Relations,International; Against war; Iran,Yes,https://www.usatoday.com/story/news/nation/2020/01/04/iraq-iran-tensions-protests-condemn-u-s-actions-middle-east/2807176001/,2,Cincinnati,Ohio,OH
2020-01-04,"Louisville, KY",30.0,International Relations,International; Against war; Iran,Yes,https://www.wdrb.com/news/louisville-protesters-voice-concerns-over-rising-u-s--iran/article_eccc3b94-2f38-11ea-8c02-1757662080aa.html,3,Louisville,Kentucky,KY
2020-01-04,"East Chicago, IN",,Collective Bargaining,Collective Bargaining; Against layoffs; Against schedule change,No,https://www.nwitimes.com/news/local/govt-and-politics/copeland-touts-accomplishments-as-firefighters-protest-at-swearing-in-ceremony/article_e2f0a63e-8622-54f6-8bd1-5cc49c704e44.html,1,East Chicago,Indiana,IN
2020-01-04,"Buffalo, NY",20.0,International Relations,International; Against war; Iran,Yes,https://www.wivb.com/news/local-news/dozens-rally-for-peace-in-buffalo/,2,Buffalo,New York,NY
2020-01-04,"Fort Wayne, IN",,International Relations,International; Against war; Iran,Yes,https://www.wdrb.com/news/louisville-protesters-voice-concerns-over-rising-u-s--iran/article_eccc3b94-2f38-11ea-8c02-1757662080aa.html,1,Fort Wayne,Indiana,IN
2020-01-04,"Seattle, WA",20.0,International Relations,International; Against war; Iran,Yes,https://www.king5.com/article/news/local/seattle-iran-airstrike-protest-washington/281-bf1f5210-05ad-4834-af24-b4f34aae2f7d,3,Seattle,Washington,WA
2020-01-04,"Market Square, Cleveland, OH",,International Relations,International; Against war; Iran,Yes,https://www.wkyc.com/article/news/local/cleveland/rally-held-in-cleveland-to-protest-us-military-actions-in-middle-east/95-7225d47c-90a5-493d-9e96-b3545bd3e917,2,"Market Square, Cleveland",Ohio,OH
2020-01-04,"Burlington, VT",100.0,International Relations,International; Against war; Iran,Yes,https://www.wcax.com/content/news/Protesters-rally-in-Burlington-against-US-airstrike--566724291.html,1,Burlington,Vermont,VT
2020-01-04,"Seymour, WI",20.0,Environment,Environment; Against hazardous conditions; Against development,No,https://www.weau.com/content/news/Seymour-residents-continue-protest-of-proposed-landfill-expansion-566721561.html,1,Seymour,Wisconsin,WI
2020-01-04,"Veterans Park, Manchester, NH",,International Relations,International; Against war; Iran,Yes,https://www.wmur.com/article/anti-war-protesters-gather-in-manchester-in-wake-of-us-strike-killing-iranian-commander/30399583,2,"Veterans Park, Manchester",New Hampshire,NH
2020-01-04,"Vigo County Courthouse, Terre Haute, IN",5.0,International Relations,International; Against war; Iran,Yes,https://www.wthitv.com/content/news/Only-a-handfull-of-people-show-up-to-the-anti-war-protest-in-townbut-numbers-flourish-across-the-country-566721921.html,1,"Vigo County Courthouse, Terre Haute",Indiana,IN
2020-01-04,"Vigo County Courthouse, Terre Haute, IN",1.0,Executive,Executive; For president; For war; Counter protest,No,https://www.wthitv.com/content/news/Only-a-handfull-of-people-show-up-to-the-anti-war-protest-in-townbut-numbers-flourish-across-the-country-566721921.html,1,"Vigo County Courthouse, Terre Haute",Indiana,IN
2020-01-04,"Central Michigan University, Mount Pleasant, MI",6.0,International Relations,International; Against war; Iran,Yes,https://www.themorningsun.com/news/war-on-iran-protest-takes-place-at-bovee-university-center/article_22aa2238-2f27-11ea-8652-f39e10bdaf85.html,1,"Central Michigan University, Mount Pleasant",Michigan,MI
2020-01-04,"Richmond, VA",,Other,Other; Against violence,No,https://www.nbc12.com/2020/01/05/local-restaurant-shockoe-bottom-holds-stop-violence-rally/,1,Richmond,Virginia,VA
2020-01-04,"Warren, PA",10.0,International Relations,International; Against war; Iran,Yes,http://www.wfmj.com/story/41520363/antiwar-protest-in-warren-blames-president-for-unrest-with-iran,1,Warren,Pennsylvania,PA
2020-01-04,"City Hall, Effingham, IL",,Civil Rights,Civil Rights; Against separation of church and state,No,https://www.effinghamdailynews.com/news/local_news/people-advocate-to-keep-cross-in-mural-during-demonstration/article_e3dd5916-2ff4-11ea-9827-775e84b61de9.html,1,"City Hall, Effingham",Illinois,IL
2020-01-04,"Duluth, MN",20.0,International Relations,International; Against war; Iran,Yes,https://kbjr6.com/2020/01/04/twin-ports-community-members-hold-anti-war-protest/,1,Duluth,Minnesota,MN
2020-01-04,"Downtown, San Diego, CA",100.0,International Relations,International; Against war; Iran,Yes,https://www.cbs8.com/article/news/local/hundreds-protest-united-states-action-in-the-middle-east/509-e5bf8c09-361e-4b24-b903-41f8be352860,2,"Downtown, San Diego",California,CA
2020-01-04,"State Capitol, Providence, RI",,International Relations,International; Against war; Iran,Yes,https://www.providencejournal.com/news/20200104/antiwar-rally-at-state-house-protests-policy-on-iran,3,"State Capitol, Providence",Rhode Island,RI
2020-01-04,"Kirtland Air Force Base, Albuquerque, NM",100.0,International Relations,International; Against war; Iran,Yes,https://www.krqe.com/news/albuquerque-metro/new-mexicans-protest-additional-troops-in-middle-east/,3,"Kirtland Air Force Base, Albuquerque",New Mexico,NM
2020-01-04,"Washington County Courthouse, Fayetteville, AR",100.0,International Relations,International; Against war; Iran,Yes,https://www.nwaonline.com/news/2020/jan/05/antiwar-protesters-take-a-stand-in-faye/,3,"Washington County Courthouse, Fayetteville",Arkansas,AR
2020-01-04,"Little Rock, AR",75.0,International Relations,International; Against war; Iran,Yes,https://www.arkansasonline.com/news/2020/jan/05/arkansans-rally-against-war-with-iran-2/?news-arkansas,1,Little Rock,Arkansas,AR
2020-01-04,"Cocoa, FL",,International Relations,International; Against war; Iran,Yes,https://www.floridatoday.com/story/news/2020/01/05/demonstrators-take-cocoa-corner-raise-concerns-buildup-tensions-iran/2818343001/,1,Cocoa,Florida,FL
2020-01-04,"Saratoga Springs, NY",10.0,International Relations,International; Against war; Iran,Yes,https://dailygazette.com/article/2020/01/04/troops-deploy-amid-new-dangers-as-protesters-rally-against-war,1,Saratoga Springs,New York,NY
2020-01-04,"Boardman, OH",10.0,International Relations,International; Against war; Iran,Yes,https://www.vindy.com/news/local-news/2020/01/residents-protest-us-airstrikes/,1,Boardman,Ohio,OH
2020-01-04,"Roundhouse, Santa Fe, NM",100.0,International Relations,International; Against war; Iran,Yes,https://www.santafenewmexican.com/news/local_news/anti-war-protesters-take-to-streets-in-santa-fe-across/article_9f937c3a-2f32-11ea-92cf-a3bd2b4d2283.html,1,"Roundhouse, Santa Fe",New Mexico,NM
2020-01-04,"Taos, NM",,International Relations,International; Against war; Iran,Yes,https://www.santafenewmexican.com/news/local_news/anti-war-protesters-take-to-streets-in-santa-fe-across/article_9f937c3a-2f32-11ea-92cf-a3bd2b4d2283.html,1,Taos,New Mexico,NM
2020-01-04,"Las Vegas, NM",,International Relations,International; Against war; Iran,Yes,https://www.santafenewmexican.com/news/local_news/anti-war-protesters-take-to-streets-in-santa-fe-across/article_9f937c3a-2f32-11ea-92cf-a3bd2b4d2283.html,1,Las Vegas,New Mexico,NM
2020-01-04,"City Hall, Boise, ID",,International Relations,International; Against war; Iran,Yes,https://www.idahopress.com/news/local/small-group-of-protesters-counter-protesters-spar-on-iranian-general/article_9e5c4ca1-49cb-56c8-9cfa-ddaa0d968b30.html,1,"City Hall, Boise",Idaho,ID
2020-01-04,"City Hall, Boise, ID",,Executive,Executive; For president; For war; Counter protest,No,https://www.idahopress.com/news/local/small-group-of-protesters-counter-protesters-spar-on-iranian-general/article_9e5c4ca1-49cb-56c8-9cfa-ddaa0d968b30.html,1,"City Hall, Boise",Idaho,ID
2020-01-04,"Indianapolis, IN",,International Relations,International; Against war; Iran,Yes,https://www.santafenewmexican.com/news/local_news/anti-war-protesters-take-to-streets-in-santa-fe-across/article_9f937c3a-2f32-11ea-92cf-a3bd2b4d2283.html,1,Indianapolis,Indiana,IN
2020-01-04,"Dealey Plaza, Dallas, TX",,International Relations,International; Against war; Iran,Yes,https://fightbacknews.org/en/entry/dallas-hundreds-rally-against-war-with-iran/,2,"Dealey Plaza, Dallas",Texas,TX
2020-01-04,"Durham, NC",,International Relations,International; Against war; Iran,Yes,https://abc11.com/5816912,1,Durham,North Carolina,NC
2020-01-04,"Denver, CO",100.0,International Relations,International; Against war; Iran,Yes,https://www.thedenverchannel.com/news/local-news/people-gather-nationwide-to-protest-us-airstrikes-in-iran,1,Denver,Colorado,CO
2020-01-04,"State Capitol, Sacramento, CA",100.0,International Relations,International; Against war; Iran,Yes,https://www.sacbee.com/news/local/article238974158.html,2,"State Capitol, Sacramento",California,CA
2020-01-04,"Athens, GA",45.0,International Relations,International; Against war; Iran,Yes,https://www.redandblack.com/athensnews/athenians-protest-violence-in-iran-after-trump-ordered-killing-of/article_01401cf6-2fe5-11ea-b822-737f8c189fea.html,1,Athens,Georgia,GA
2020-01-04,"Algonquin, IL",4.0,Executive,Executive; Against president; Counter protest,Yes,https://www.kcchronicle.com/2020/01/04/pro-trump-rally-in-algonquin/au76juj/,3,Algonquin,Illinois,IL
2020-01-04,"Downtown, San Diego, CA",1.0,Executive,Executive; For president; Counter protest,No,https://fox5sandiego.com/2020/01/04/san-diegans-gather-downtown-to-protest-us-airstrike-that-killed-iranian-general/,1,"Downtown, San Diego",California,CA
2020-01-04,"Capitol Square, Madison, WI",100.0,International Relations,International; Against war; Iran,Yes,https://www.nbc15.com/content/news/Anti-war-protesters-gather-on-Capitol-Square-566726111.html,3,"Capitol Square, Madison",Wisconsin,WI
2020-01-04,"Santa Cruz, CA",10.0,International Relations,International; Against war; Iran,Yes,https://kion546.com/news/santa-cruz-county/2020/01/04/death-of-iranian-general-soleimani-prompts-anti-war-rally-in-santa-cruz/,1,Santa Cruz,California,CA
2020-01-04,"Ellensburg, WA",40.0,International Relations,International; Against war; Iran,Yes,https://www.dailyrecordnews.com/news/anti-war-protesters-take-it-to-the-streets/article_184a918a-237a-5aab-9ffd-dc8ff6a6161b.html,1,Ellensburg,Washington,WA
2020-01-04,"Chico, CA",20.0,International Relations,International; Against war; Iran,Yes,https://www.actionnewsnow.com/content/news/Chico-residents-protest-against-war-with-Iran-566751461.html,1,Chico,California,CA
2020-01-04,"Schenely Plaza, Pittsburgh, PA",5.0,Civil Rights,Civil Rights; Anti-Semitic; Counter protest,No,https://www.pghcitypaper.com/pittsburgh/high-profile-white-supremacist-forced-out-of-anti-war-rally-by-pittsburgh-protesters/Content?oid=16498184,1,"Schenely Plaza, Pittsburgh",Pennsylvania,PA
2020-01-04,"American Canyon, CA",10.0,Other,Other; Against eviction; Housing,No,https://napavalleyregister.com/news/local/mobile-home-residents-protest-american-canyon-eviction-notices/article_e6bd7d24-d2db-5f9a-9286-3b3efadc27f3.html,1,American Canyon,California,CA
2020-01-04,"Grand Rapids, MN",,International Relations,International; Against war; Iran,Yes,http://www.fightbacknews.org/2020/1/6/grand-rapids-mi-protest-against-war-iran,1,Grand Rapids,Minnesota,MN
2020-01-05,"Cadman Plaza, Brooklyn, NY",25000.0,Civil Rights,Civil Rights; For religious tolerance,Yes,https://www.pix11.com/news/local-news/manhattan/watch-live-thousands-march-brooklyn-bridge-support-jewish-community-no-hate-no-fear-march-solidarity,46,"Cadman Plaza, Brooklyn",New York,NY
2020-01-05,"Kalamazoo, MI",50.0,International Relations,International; Against war; Iran,Yes,https://www.mlive.com/news/kalamazoo/2020/01/kalamazoo-group-switches-weekly-prayer-vigil-for-protest-for-peace-in-iran.html,3,Kalamazoo,Michigan,MI
2020-01-05,"Charlottesville, VA",200.0,International Relations,International; Against war; Iran,Yes,https://www.nbc29.com/2020/01/06/charlottesville-rally-against-war-iran/,4,Charlottesville,Virginia,VA
2020-01-05,"Raleigh, NC",100.0,International Relations,International; Against war; Iran,Yes,https://www.cbs17.com/news/local-news/wake-county-news/dozens-attend-anti-war-protest-in-downtown-raleigh/,4,Raleigh,North Carolina,NC
2020-01-05,"Des Moines, IA",100.0,International Relations,International; Against war; Iran,Yes,https://www.kcci.com/article/anti-war-protesters-take-to-des-moines-streets/30406515,2,Des Moines,Iowa,IA
2020-01-05,"New Haven Green, New Haven, CT",100.0,International Relations,International; Against war; Iran,Yes,https://www.ctinsider.com/news/nhregister/article/Dozens-brave-cold-in-New-Haven-to-protest-war-14951582.php,3,"New Haven Green, New Haven",Connecticut,CT
2020-01-05,"Union Square, San Francisco, CA",20.0,International Relations,International; For US intervention; Iran,No,https://www.sfchronicle.com/bayarea/article/Iranian-Americans-rally-in-SF-to-celebrate-14951605.php,1,"Union Square, San Francisco",California,CA
2020-01-05,"San Antonio, TX",20.0,International Relations,International; Against war; Iran,Yes,https://www.mysanantonio.com/news/local/article/San-Antonio-veterans-protest-Iranian-leader-s-14951468.php,1,San Antonio,Texas,TX
2020-01-05,"Nashville, TN",100.0,International Relations,International; Against war; Iran,Yes,https://www.tennessean.com/story/news/politics/2020/01/05/protests-iraq-war-iran-qassem-soleimani-death-trump-administration/2820345001/,1,Nashville,Tennessee,TN
2020-01-05,"Galleria, Houston, TX",50.0,International Relations,International; Against war; Iran,Yes,https://www.chron.com/news/houston-texas/houston/article/Anti-war-protesters-take-to-Galleria-Discovery-14951371.php,2,"Galleria, Houston",Texas,TX
2020-01-05,"Discovery Green, Houston, TX",200.0,International Relations,International; Against war; Iran,Yes,https://www.houstonchronicle.com/news/houston-texas/houston/article/Anti-war-protesters-take-to-Galleria-Discovery-14951333.php,2,"Discovery Green, Houston",Texas,TX
2020-01-05,"Modesto, CA",40.0,International Relations,International; Against war; Iran,Yes,https://www.modbee.com/news/local/turlock/article238985208.html,1,Modesto,California,CA
2020-01-05,"Seattle, WA",100.0,Civil Rights,Civil Rights; For white supremacy,No,https://www.seattletimes.com/seattle-news/4-counter-demonstrators-arrested-during-far-right-rally-in-downtown-seattle-on-sunday/,4,Seattle,Washington,WA
2020-01-05,"Seattle, WA",100.0,Civil Rights,Civil Rights; Against white supremacy; Counter protest,Yes,https://www.seattletimes.com/seattle-news/4-counter-demonstrators-arrested-during-far-right-rally-in-downtown-seattle-on-sunday/,4,Seattle,Washington,WA
2020-01-05,"Joplin, MO",,Civil Rights,Civil Rights; For greater accountability; Police,Yes,https://www.koamnewsnow.com/fatal-shooting-sparks-joplin-police-protest/,1,Joplin,Missouri,MO
2020-01-05,"Rapid City, SD",20.0,International Relations,International; Against war; Iran,Yes,https://www.blackhillsfox.com/content/news/566739601.html,1,Rapid City,South Dakota,SD
2020-01-05,"Naperville, IL",100.0,International Relations,International; Against war; Iran,Yes,https://www.dailyherald.com/news/20200105/activists-call-for-peace-in-the-middle-east-at-naperville-rally,1,Naperville,Illinois,IL
2020-01-05,"Takoma Park, MD",500.0,Civil Rights,Civil Rights; For religious tolerance,Yes,https://washingtonjewishweek.com/62857/jews-protest-anti-semitism-in-takoma-park-and-new-york/featured-slider-post/,1,Takoma Park,Maryland,MD
2020-01-06,"State Capitol, Indianapolis, IN",,Other,Other; For marijuana,No,https://www.wane.com/news/indiana/supporters-of-legalizing-recreational-pot-hold-rally-in-indianapolis/,2,"State Capitol, Indianapolis",Indiana,IN
2020-01-06,"City Hall, Cleveland, OH",20.0,Collective Bargaining,Collective Bargaining; For better compensation,No,https://www.cleveland.com/cityhall/2020/01/labor-dispute-prompts-cleveland-ems-workers-show-of-force-protest-at-city-council-meeting.html,3,"City Hall, Cleveland",Ohio,OH
2020-01-06,"Belton, TX",,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.tdtnews.com/news/central_texas_news/article_982c706c-30b5-11ea-8d67-5301afcb65d8.html,1,Belton,Texas,TX
2020-01-06,"Lockport, IL",25.0,Civil Rights,Civil Rights; For abortion rights,Yes,https://www.chicagotribune.com/suburbs/daily-southtown/ct-sta-lipinski-abortion-protest-st-0107-20200107-rg7y4kofavaw7ooidw7cauygci-story.html,3,Lockport,Illinois,IL
2020-01-06,"Los Angeles International Airport, Los Angeles, CA",200.0,Other,Other; Against regulation; Transportation,No,https://www.dailybreeze.com/cab-drivers-demonstrate-at-lax-demand-airport-officials-resume-curbside-pickup,4,"Los Angeles International Airport, Los Angeles",California,CA
2020-01-06,"Millennium Park, Chicago, IL",100.0,Civil Rights,Civil Rights; For religious tolerance,Yes,https://www.chicagotribune.com/news/breaking/ct-chicago-protest-anti-semitism-millennium-park-20200107-xks74bfobfhwxnkq6sxfrb5esu-story.html,2,"Millennium Park, Chicago",Illinois,IL
2020-01-06,"Augusta County Courthouse, Staunton, VA",10.0,International Relations,International; Against war; Iran,Yes,https://www.whsv.com/content/news/About-a-dozen-gather-to-protest-war-in-Iran-566763811.html,1,"Augusta County Courthouse, Staunton",Virginia,VA
2020-01-06,"Red Bluff, CA",10.0,Other,Other; Against mismanagement; Local governance,No,https://www.redbluffdailynews.com/rancho-tehama-residents-hold-protest-in-red-bluff-over-homeowners-association,1,Red Bluff,California,CA
2020-01-06,"Stamford, CT",30.0,International Relations,International; Against war; Iran,Yes,https://www.ctinsider.com/local/stamfordadvocate/article/In-Stamford-protesters-decry-endless-war-14954254.php,1,Stamford,Connecticut,CT
2020-01-06,"City Hall, Bridgeton, NJ",10.0,Other,Other; For continued investigation; Missing person,No,https://www.thedailyjournal.com/story/news/local/2020/01/06/dulce-maria-alavez-albert-kelly-missing-bridgeton-girl/2826101001/,1,"City Hall, Bridgeton",New Jersey,NJ
2020-01-06,"New York, NY",,Executive,Executive; Against candidate,No,https://www.pix11.com/news/national-politics/the-race-2020/activists-protest-biden-as-campaigns-come-through-nyc,1,New York,New York,NY
2020-01-06,"City Hall, Rome, NY",25.0,International Relations,International; Against war; Iran,Yes,https://www.uticaod.com/news/20200106/area-residents-hold-peace-rally-in-rome-amid-us-iran-tensions,1,"City Hall, Rome",New York,NY
2020-01-06,"New Bedford, MA",,Collective Bargaining,Collective Bargaining; Against understaffing,No,http://www.abc6.com/story/41527913/firefighters-protest-new-bedford-mayors-inauguration-over-blackout-policy,1,New Bedford,Massachusetts,MA
