"","State","Filed.week.ended","Initial.Claims","Reflecting.Week.Ended","Continued.Claims","Covered.Employment","Insured.Unemployment.Rate"
"105","Alaska",2019-07-20,649,2019-07-13,5065,306179,1.65
"106","Alaska",2019-07-27,619,2019-07-20,5028,306179,1.64
"107","Alaska",2019-08-03,682,2019-07-27,4875,306179,1.59
"108","Alaska",2019-08-10,693,2019-08-03,5019,306179,1.64
"109","Alaska",2019-08-17,698,2019-08-10,4886,306179,1.6
"110","Alaska",2019-08-24,701,2019-08-17,4856,306179,1.59
"111","Alaska",2019-08-31,682,2019-08-24,4616,306179,1.51
"112","Alaska",2019-09-07,687,2019-08-31,4541,306179,1.48
"113","Alaska",2019-09-14,716,2019-09-07,4510,306179,1.47
"114","Alaska",2019-09-21,808,2019-09-14,4720,306179,1.54
"115","Alaska",2019-09-28,866,2019-09-21,4730,306179,1.54
"116","Alaska",2019-10-05,856,2019-09-28,5203,306179,1.7
"117","Alaska",2019-10-12,1184,2019-10-05,5094,306493,1.66
"118","Alaska",2019-10-19,1005,2019-10-12,5629,306493,1.84
"119","Alaska",2019-10-26,1109,2019-10-19,6260,306493,2.04
"120","Alaska",2019-11-02,1166,2019-10-26,6357,306493,2.07
"121","Alaska",2019-11-09,1319,2019-11-02,7103,306493,2.32
"122","Alaska",2019-11-16,1194,2019-11-09,7545,306493,2.46
"123","Alaska",2019-11-23,1243,2019-11-16,8527,306493,2.78
"124","Alaska",2019-11-30,941,2019-11-23,8196,306493,2.67
"125","Alaska",2019-12-07,1146,2019-11-30,9537,306493,3.11
"126","Alaska",2019-12-14,949,2019-12-07,8645,306493,2.82
"127","Alaska",2019-12-21,1027,2019-12-14,9772,306493,3.19
"128","Alaska",2019-12-28,860,2019-12-21,8659,306493,2.83
"129","Alaska",2020-01-04,981,2019-12-28,10177,306493,3.32
"130","Alaska",2020-01-11,1371,2020-01-04,9310,307329,3.03
"131","Alaska",2020-01-18,1181,2020-01-11,9984,307329,3.25
"132","Alaska",2020-01-25,1003,2020-01-18,9496,307329,3.09
"133","Alaska",2020-02-01,1122,2020-01-25,9579,307329,3.12
"134","Alaska",2020-02-08,980,2020-02-01,9161,307329,2.98
"135","Alaska",2020-02-15,915,2020-02-08,9343,307329,3.04
"136","Alaska",2020-02-22,773,2020-02-15,8864,307329,2.88
"137","Alaska",2020-02-29,874,2020-02-22,8938,307329,2.91
"138","Alaska",2020-03-07,815,2020-02-29,8266,307329,2.69
"139","Alaska",2020-03-14,1120,2020-03-07,8522,307329,2.77
"140","Alaska",2020-03-21,7847,2020-03-14,8512,307329,2.77
"141","Alaska",2020-03-28,13774,2020-03-21,11173,307329,3.64
"142","Alaska",2020-04-04,14590,2020-03-28,19845,307329,6.46
"143","Alaska",2020-04-11,12007,2020-04-04,35365,308137,11.48
"144","Alaska",2020-04-18,12201,2020-04-11,48096,308137,15.61
"145","Alaska",2020-04-25,10313,2020-04-18,52022,308137,16.88
"146","Alaska",2020-05-02,8718,2020-04-25,49893,308137,16.19
"147","Alaska",2020-05-09,7807,2020-05-02,50971,308137,16.54
"148","Alaska",2020-05-16,7741,2020-05-09,50049,308137,16.24
"149","Alaska",2020-05-23,8152,2020-05-16,48000,308137,15.58
"150","Alaska",2020-05-30,7452,2020-05-23,47344,308137,15.36
"151","Alaska",2020-06-06,7081,2020-05-30,47123,308137,15.29
"152","Alaska",2020-06-13,6797,2020-06-06,45792,308137,14.86
"153","Arkansas",2019-01-05,3478,2018-12-29,14206,1183443,1.2
"154","Arkansas",2019-01-12,2552,2019-01-05,14322,1185652,1.21
"155","Arkansas",2019-01-19,1804,2019-01-12,13132,1185652,1.11
"156","Arkansas",2019-01-26,1720,2019-01-19,12740,1185652,1.07
"157","Arkansas",2019-02-02,1843,2019-01-26,13129,1185652,1.11
"158","Arkansas",2019-02-09,1804,2019-02-02,12835,1185652,1.08
"159","Arkansas",2019-02-16,1789,2019-02-09,12390,1185652,1.04
"160","Arkansas",2019-02-23,1450,2019-02-16,12466,1185652,1.05
"161","Arkansas",2019-03-02,1826,2019-02-23,12119,1185652,1.02
"162","Arkansas",2019-03-09,1396,2019-03-02,11632,1185652,0.98
"163","Arkansas",2019-03-16,1442,2019-03-09,10973,1185652,0.93
"164","Arkansas",2019-03-23,2263,2019-03-16,10415,1185652,0.88
"165","Arkansas",2019-03-30,1219,2019-03-23,11003,1185652,0.93
"166","Arkansas",2019-04-06,2250,2019-03-30,9788,1185652,0.83
"167","Arkansas",2019-04-13,1451,2019-04-06,10259,1188140,0.86
"168","Arkansas",2019-04-20,1413,2019-04-13,9669,1188140,0.81
"169","Arkansas",2019-04-27,1337,2019-04-20,9842,1188140,0.83
"170","Arkansas",2019-05-04,1477,2019-04-27,9624,1188140,0.81
"171","Arkansas",2019-05-11,1682,2019-05-04,9348,1188140,0.79
"172","Arkansas",2019-05-18,1697,2019-05-11,9623,1188140,0.81
"173","Arkansas",2019-05-25,1991,2019-05-18,9815,1188140,0.83
"174","Arkansas",2019-06-01,2602,2019-05-25,10139,1188140,0.85
"175","Arkansas",2019-06-08,3049,2019-06-01,11510,1188140,0.97
"176","Arkansas",2019-06-15,1736,2019-06-08,12900,1188140,1.09
"177","Arkansas",2019-06-22,1492,2019-06-15,12639,1188140,1.06
"178","Arkansas",2019-06-29,1564,2019-06-22,12603,1188140,1.06
"179","Arkansas",2019-07-06,2938,2019-06-29,12156,1188140,1.02
"180","Arkansas",2019-07-13,1757,2019-07-06,13856,1190937,1.16
"181","Arkansas",2019-07-20,1516,2019-07-13,13812,1190937,1.16
"182","Arkansas",2019-07-27,1437,2019-07-20,13004,1190937,1.09
"183","Arkansas",2019-08-03,1343,2019-07-27,13188,1190937,1.11
"184","Arkansas",2019-08-10,1586,2019-08-03,12339,1190937,1.04
"185","Arkansas",2019-08-17,1422,2019-08-10,11950,1190937,1
"186","Arkansas",2019-08-24,1601,2019-08-17,10912,1190937,0.92
"187","Arkansas",2019-08-31,1454,2019-08-24,10774,1190937,0.9
"188","Arkansas",2019-09-07,2122,2019-08-31,10222,1190937,0.86
"189","Arkansas",2019-09-14,1349,2019-09-07,10809,1190937,0.91
"190","Arkansas",2019-09-21,1296,2019-09-14,10201,1190937,0.86
"191","Arkansas",2019-09-28,1346,2019-09-21,9781,1190937,0.82
"192","Arkansas",2019-10-05,1884,2019-09-28,9598,1190937,0.81
"193","Arkansas",2019-10-12,1499,2019-10-05,9712,1193713,0.81
"194","Arkansas",2019-10-19,1404,2019-10-12,9830,1193713,0.82
"195","Arkansas",2019-10-26,1610,2019-10-19,9940,1193713,0.83
"196","Arkansas",2019-11-02,2189,2019-10-26,10050,1193713,0.84
"197","Arkansas",2019-11-09,1731,2019-11-02,10637,1193713,0.89
"198","Arkansas",2019-11-16,1780,2019-11-09,10054,1193713,0.84
"199","Arkansas",2019-11-23,1752,2019-11-16,10767,1193713,0.9
"200","Arkansas",2019-11-30,2567,2019-11-23,10063,1193713,0.84
"201","Arkansas",2019-12-07,2436,2019-11-30,12569,1193713,1.05
"202","Arkansas",2019-12-14,1809,2019-12-07,11610,1193713,0.97
"203","Arkansas",2019-12-21,2579,2019-12-14,11755,1193713,0.98
"204","Arkansas",2019-12-28,3545,2019-12-21,12032,1193713,1.01
"205","Arkansas",2020-01-04,2576,2019-12-28,15323,1193713,1.28
"206","Arkansas",2020-01-11,2493,2020-01-04,15536,1195622,1.3
"207","Arkansas",2020-01-18,1729,2020-01-11,13229,1195622,1.11
"208","Arkansas",2020-01-25,1683,2020-01-18,12331,1195622,1.03
"209","Arkansas",2020-02-01,1837,2020-01-25,13210,1195622,1.1
"210","Arkansas",2020-02-08,1724,2020-02-01,12964,1195622,1.08
"211","Arkansas",2020-02-15,1602,2020-02-08,12979,1195622,1.09
"212","Arkansas",2020-02-22,1055,2020-02-15,12546,1195622,1.05
"213","Arkansas",2020-02-29,1418,2020-02-22,12244,1195622,1.02
"214","Arkansas",2020-03-07,1843,2020-02-29,11618,1195622,0.97
"215","Arkansas",2020-03-14,1382,2020-03-07,11514,1195622,0.96
"216","Arkansas",2020-03-21,9275,2020-03-14,10988,1195622,0.92
"217","Arkansas",2020-03-28,27756,2020-03-21,16148,1195622,1.35
"218","Arkansas",2020-04-04,62086,2020-03-28,36499,1195622,3.05
"219","Arkansas",2020-04-11,35629,2020-04-04,66511,1196468,5.56
"220","Arkansas",2020-04-18,25404,2020-04-11,91278,1196468,7.63
"221","Arkansas",2020-04-25,17671,2020-04-18,109337,1196468,9.14
"222","Arkansas",2020-05-02,13448,2020-04-25,119332,1196468,9.97
"223","Arkansas",2020-05-09,13152,2020-05-02,122522,1196468,10.24
"224","Arkansas",2020-05-16,11427,2020-05-09,122408,1196468,10.23
"225","Arkansas",2020-05-23,10825,2020-05-16,120043,1196468,10.03
"226","Arkansas",2020-05-30,8481,2020-05-23,115365,1196468,9.64
"227","Arkansas",2020-06-06,9663,2020-05-30,115482,1196468,9.65
"228","Arkansas",2020-06-13,9381,2020-06-06,113623,1196468,9.5
"229","Arizona",2019-01-05,3086,2018-12-29,19239,2784393,0.69
"230","Arizona",2019-01-12,4711,2019-01-05,19360,2784393,0.7
"231","Arizona",2019-01-19,4210,2019-01-12,19295,2784393,0.69
"232","Arizona",2019-01-26,3681,2019-01-19,19580,2784393,0.7
"233","Arizona",2019-02-02,3536,2019-01-26,19553,2784393,0.7
"234","Arizona",2019-02-09,3310,2019-02-02,19595,2784393,0.7
"235","Arizona",2019-02-16,3224,2019-02-09,19634,2784393,0.71
"236","Arizona",2019-02-23,2905,2019-02-16,19362,2784393,0.7
"237","Arizona",2019-03-02,3276,2019-02-23,19231,2784393,0.69
"238","Arizona",2019-03-09,3403,2019-03-02,19057,2784393,0.68
"239","Arizona",2019-03-16,3388,2019-03-09,19088,2784393,0.69
"240","Arizona",2019-03-23,3402,2019-03-16,18987,2784393,0.68
"241","Arizona",2019-03-30,3740,2019-03-23,19112,2784393,0.69
"242","Arizona",2019-04-06,5029,2019-03-30,18755,2804467,0.67
"243","Arizona",2019-04-13,5848,2019-04-06,19736,2804467,0.7
"244","Arizona",2019-04-20,5330,2019-04-13,21027,2804467,0.75
"245","Arizona",2019-04-27,5303,2019-04-20,22912,2804467,0.82
"246","Arizona",2019-05-04,4635,2019-04-27,23733,2804467,0.85
"247","Arizona",2019-05-11,4264,2019-05-04,24879,2804467,0.89
"248","Arizona",2019-05-18,4280,2019-05-11,25497,2804467,0.91
"249","Arizona",2019-05-25,4129,2019-05-18,25609,2804467,0.91
"250","Arizona",2019-06-01,4078,2019-05-25,25307,2804467,0.9
"251","Arizona",2019-06-08,4670,2019-06-01,26308,2804467,0.94
"252","Arizona",2019-06-15,4219,2019-06-08,25992,2804467,0.93
"253","Arizona",2019-06-22,4177,2019-06-15,26606,2804467,0.95
"254","Arizona",2019-06-29,4208,2019-06-22,26470,2804467,0.94
"255","Arizona",2019-07-06,4412,2019-06-29,26689,2804467,0.95
"256","Arizona",2019-07-13,5723,2019-07-06,27400,2825215,0.97
"257","Arizona",2019-07-20,4549,2019-07-13,28825,2825215,1.02
"258","Arizona",2019-07-27,4019,2019-07-20,29236,2825215,1.03
"259","Arizona",2019-08-03,3908,2019-07-27,29299,2825215,1.04
"260","Arizona",2019-08-10,3857,2019-08-03,28871,2825215,1.02
"261","Arizona",2019-08-17,3514,2019-08-10,28619,2825215,1.01
"262","Arizona",2019-08-24,3535,2019-08-17,27805,2825215,0.98
"263","Arizona",2019-08-31,3622,2019-08-24,27263,2825215,0.96
"264","Arizona",2019-09-07,3336,2019-08-31,25986,2825215,0.92
"265","Arizona",2019-09-14,3643,2019-09-07,25426,2825215,0.9
"266","Arizona",2019-09-21,3681,2019-09-14,24362,2825215,0.86
"267","Arizona",2019-09-28,3757,2019-09-21,23611,2825215,0.84
"268","Arizona",2019-10-05,3775,2019-09-28,23284,2825215,0.82
"269","Arizona",2019-10-12,3916,2019-10-05,22290,2845961,0.78
"270","Arizona",2019-10-19,3510,2019-10-12,21911,2845961,0.77
"271","Arizona",2019-10-26,3880,2019-10-19,21520,2845961,0.76
"272","Arizona",2019-11-02,3966,2019-10-26,20865,2845961,0.73
"273","Arizona",2019-11-09,3952,2019-11-02,20673,2845961,0.73
"274","Arizona",2019-11-16,3701,2019-11-09,20489,2845961,0.72
"275","Arizona",2019-11-23,3730,2019-11-16,19167,2845961,0.67
"276","Arizona",2019-11-30,2527,2019-11-23,17371,2845961,0.61
"277","Arizona",2019-12-07,4113,2019-11-30,18526,2845961,0.65
"278","Arizona",2019-12-14,3296,2019-12-07,17436,2845961,0.61
"279","Arizona",2019-12-21,3294,2019-12-14,17518,2845961,0.62
"280","Arizona",2019-12-28,2155,2019-12-21,17508,2845961,0.62
"281","Arizona",2020-01-04,3132,2019-12-28,17991,2864180,0.63
"282","Arizona",2020-01-11,4654,2020-01-04,18259,2864180,0.64
"283","Arizona",2020-01-18,4152,2020-01-11,18421,2864180,0.64
"284","Arizona",2020-01-25,3475,2020-01-18,18401,2864180,0.64
"285","Arizona",2020-02-01,3807,2020-01-25,18854,2864180,0.66
"286","Arizona",2020-02-08,3636,2020-02-01,18461,2864180,0.64
"287","Arizona",2020-02-15,3538,2020-02-08,18516,2864180,0.65
"288","Arizona",2020-02-22,3151,2020-02-15,18217,2864180,0.64
"289","Arizona",2020-02-29,3086,2020-02-22,18137,2864180,0.63
"290","Arizona",2020-03-07,3357,2020-02-29,17593,2864180,0.61
"291","Arizona",2020-03-14,3844,2020-03-07,17595,2864180,0.61
"292","Arizona",2020-03-21,29348,2020-03-14,18108,2864180,0.63
"293","Arizona",2020-03-28,88940,2020-03-21,26387,2864180,0.92
"294","Arizona",2020-04-04,132428,2020-03-28,62597,2864180,2.19
"295","Arizona",2020-04-11,98531,2020-04-04,120592,2864180,4.21
"296","Arizona",2020-04-18,72457,2020-04-11,170262,2885408,5.9
"297","Arizona",2020-04-25,52581,2020-04-18,196401,2885408,6.81
"298","Arizona",2020-05-02,43023,2020-04-25,218760,2885408,7.58
"299","Arizona",2020-05-09,31570,2020-05-02,228806,2885408,7.93
"300","Arizona",2020-05-16,31957,2020-05-09,230566,2885408,7.99
"301","Arizona",2020-05-23,26868,2020-05-16,217968,2885408,7.55
"302","Arizona",2020-05-30,22012,2020-05-23,209944,2885408,7.28
"303","Arizona",2020-06-06,24367,2020-05-30,210605,2885408,7.3
"304","Arizona",2020-06-13,22419,2020-06-06,209529,2885408,7.26
"305","California",2019-01-05,38536,2018-12-29,348968,16900653,2.06
"306","California",2019-01-12,53519,2019-01-05,366000,16987900,2.15
"307","California",2019-01-19,48844,2019-01-12,371261,16987900,2.19
"308","California",2019-01-26,56886,2019-01-19,388607,16987900,2.29
"309","California",2019-02-02,48904,2019-01-26,363358,16987900,2.14
"310","California",2019-02-09,44850,2019-02-02,371696,16987900,2.19
"311","California",2019-02-16,43516,2019-02-09,360835,16987900,2.12
"312","California",2019-02-23,34449,2019-02-16,386100,16987900,2.27
"313","California",2019-03-02,41085,2019-02-23,380331,16987900,2.24
"314","California",2019-03-09,40896,2019-03-02,402138,16987900,2.37
"315","California",2019-03-16,41128,2019-03-09,372306,16987900,2.19
"316","California",2019-03-23,39832,2019-03-16,384846,16987900,2.27
"317","California",2019-03-30,38528,2019-03-23,368658,16987900,2.17
"318","California",2019-04-06,36227,2019-03-30,373823,16987900,2.2
"319","California",2019-04-13,39429,2019-04-06,347023,17063245,2.03
"320","California",2019-04-20,43900,2019-04-13,361762,17063245,2.12
"321","California",2019-04-27,40312,2019-04-20,333180,17063245,1.95
"322","California",2019-05-04,38392,2019-04-27,342461,17063245,2.01
"323","California",2019-05-11,39618,2019-05-04,330763,17063245,1.94
"324","California",2019-05-18,37428,2019-05-11,344735,17063245,2.02
"325","California",2019-05-25,38275,2019-05-18,319156,17063245,1.87
"326","California",2019-06-01,34781,2019-05-25,317598,17063245,1.86
"327","California",2019-06-08,41288,2019-06-01,317108,17063245,1.86
"328","California",2019-06-15,38753,2019-06-08,300412,17063245,1.76
"329","California",2019-06-22,44396,2019-06-15,306005,17063245,1.79
"330","California",2019-06-29,42404,2019-06-22,300575,17063245,1.76
"331","California",2019-07-06,35194,2019-06-29,307450,17063245,1.8
"332","California",2019-07-13,39061,2019-07-06,301444,17144715,1.76
"333","California",2019-07-20,39341,2019-07-13,306388,17144715,1.79
"334","California",2019-07-27,38438,2019-07-20,311686,17144715,1.82
"335","California",2019-08-03,36041,2019-07-27,305372,17144715,1.78
"336","California",2019-08-10,41404,2019-08-03,329057,17144715,1.92
"337","California",2019-08-17,35430,2019-08-10,294646,17144715,1.72
"338","California",2019-08-24,34596,2019-08-17,307762,17144715,1.8
"339","California",2019-08-31,34358,2019-08-24,290655,17144715,1.7
"340","California",2019-09-07,30771,2019-08-31,269570,17144715,1.57
"341","California",2019-09-14,34650,2019-09-07,285564,17144715,1.67
"342","California",2019-09-21,35161,2019-09-14,279176,17144715,1.63
"343","California",2019-09-28,33226,2019-09-21,277881,17144715,1.62
"344","California",2019-10-05,33326,2019-09-28,276630,17144715,1.61
"345","California",2019-10-12,40182,2019-10-05,260397,17203829,1.51
"346","California",2019-10-19,39191,2019-10-12,258717,17203829,1.5
"347","California",2019-10-26,41081,2019-10-19,281060,17203829,1.63
"348","California",2019-11-02,39332,2019-10-26,267628,17203829,1.56
"349","California",2019-11-09,45816,2019-11-02,284199,17203829,1.65
"350","California",2019-11-16,40749,2019-11-09,274354,17203829,1.59
"351","California",2019-11-23,49133,2019-11-16,291706,17203829,1.7
"352","California",2019-11-30,36457,2019-11-23,259563,17203829,1.51
"353","California",2019-12-07,48434,2019-11-30,327504,17203829,1.9
"354","California",2019-12-14,47521,2019-12-07,321564,17203829,1.87
"355","California",2019-12-21,49943,2019-12-14,325387,17203829,1.89
"356","California",2019-12-28,34301,2019-12-21,300551,17203829,1.75
"357","California",2020-01-04,36720,2019-12-28,359606,17203829,2.09
"358","California",2020-01-11,51993,2020-01-04,356376,17265039,2.06
"359","California",2020-01-18,64858,2020-01-11,376947,17265039,2.18
"360","California",2020-01-25,45596,2020-01-18,336269,17265039,1.95
"361","California",2020-02-01,43458,2020-01-25,388341,17265039,2.25
"362","California",2020-02-08,40392,2020-02-01,359156,17265039,2.08
"363","California",2020-02-15,43445,2020-02-08,375305,17265039,2.17
"364","California",2020-02-22,34979,2020-02-15,349252,17265039,2.02
"365","California",2020-02-29,41678,2020-02-22,369988,17265039,2.14
"366","California",2020-03-07,43385,2020-02-29,378864,17265039,2.19
"367","California",2020-03-14,57606,2020-03-07,351344,17265039,2.04
"368","California",2020-03-21,186333,2020-03-14,421912,17265039,2.44
"369","California",2020-03-28,1058325,2020-03-21,400565,17265039,2.32
"370","California",2020-04-04,918814,2020-03-28,1076761,17265039,6.24
"371","California",2020-04-11,655472,2020-04-04,1429954,17330010,8.25
"372","California",2020-04-18,528360,2020-04-11,2422458,17330010,13.98
"373","California",2020-04-25,325343,2020-04-18,1887575,17330010,10.89
"374","California",2020-05-02,316257,2020-04-25,4808361,17330010,27.75
"375","California",2020-05-09,212667,2020-05-02,2850204,17330010,16.45
"376","California",2020-05-16,244431,2020-05-09,3565153,17330010,20.57
"377","California",2020-05-23,203262,2020-05-16,2155310,17330010,12.44
"378","California",2020-05-30,228634,2020-05-23,2752401,17330010,15.88
"379","California",2020-06-06,255836,2020-05-30,2812484,17330010,16.23
"380","California",2020-06-13,241424,2020-06-06,3001413,17330010,17.32
"381","Colorado",2019-01-05,2710,2018-12-29,21864,2571804,0.85
"382","Colorado",2019-01-12,3077,2019-01-05,21215,2588607,0.82
"383","Colorado",2019-01-19,2701,2019-01-12,21748,2588607,0.84
"384","Colorado",2019-01-26,2409,2019-01-19,23144,2588607,0.89
"385","Colorado",2019-02-02,2275,2019-01-26,22589,2588607,0.87
"386","Colorado",2019-02-09,2210,2019-02-02,23442,2588607,0.91
"387","Colorado",2019-02-16,1813,2019-02-09,22326,2588607,0.86
"388","Colorado",2019-02-23,1925,2019-02-16,23469,2588607,0.91
"389","Colorado",2019-03-02,1719,2019-02-23,22043,2588607,0.85
"390","Colorado",2019-03-09,1891,2019-03-02,23142,2588607,0.89
"391","Colorado",2019-03-16,1506,2019-03-09,21189,2588607,0.82
"392","Colorado",2019-03-23,1550,2019-03-16,22886,2588607,0.88
