Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
KY,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,4440204,166,2.4,0.46,4.8,0,311,2.3,0.39,4.41,0,249,2.6,0.78,4.77,0,252,1.9,0.35,3.88,0,431,2,0.77,3.35,0,547,2.6,1.13,4.42,0,978,2.3,1.29,3.46,0,102125,57279,153631,true,false
LA,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,4663616,243,21.1,14.88,27.04,0,249,11,6.92,15.17,0,244,8.5,4.4,13.35,0,241,4.6,1.87,8.15,0,362,11.8,8.35,15.93,0,615,12.1,8.9,15.35,0,977,12,9.63,14.45,0,559634,449106,673893,true,false
MA,"Sep 25 -  Oct 1, 2020",5,Statewide,Statewide,6830193,245,6.6,3.59,10.19,0,246,1.8,0.33,3.8,0,249,2.6,0.62,5.16,0,248,0.9,0,2.29,1,434,2.7,1.18,4.82,0,554,2.8,1.5,4.29,0,988,2.8,1.76,4.04,0,191245,120211,275940,true,true
MD,"Sep 21 -  Oct 5, 2020",5,Statewide,Statewide,6003435,61,777,,,,305,16.5,12.61,21.15,0,329,8.1,5.18,11.64,0,363,1.8,0.37,3.48,0,613,13.3,10.25,16.83,0,445,6.6,3.83,9.86,0,1058,9.9,7.8,12.2,0,594340,468268,732419,true,false
ME,"Sep 25 -  Oct 8, 2020",5,Statewide,Statewide,1332813,35,777,,,,364,0.7,0,1.58,0,251,1.1,0,3.48,1,261,0.1,0,0.57,1,361,0.6,0,1.78,1,550,0.5,0.08,1.13,0,911,0.5,0.08,1.16,0,6664,1066,15461,false,true
MI,"Sep 22 -  Oct 2, 2020",5,Statewide,Statewide,9957488,234,6.8,3.77,9.99,0,248,1.6,0,3.46,0,253,2.1,0.37,4.18,0,244,4.8,1.98,7.91,0,444,3.6,1.93,5.46,0,535,3.2,1.76,4.92,0,979,3.4,2.33,4.48,0,338555,232009,446095,true,false
MN,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,5527358,93,4.8,1.05,9.16,0,301,4.8,2.57,7.38,0,288,4.6,2.23,7.8,0,298,2.6,0.85,4.38,0,426,5.4,3.05,8.02,0,554,3.4,1.82,5.12,0,980,4.4,2.92,5.95,0,243204,161399,328878,true,false
MO,"Sep 21 -  Oct 2, 2020",5,Statewide,Statewide,6090062,237,6.9,3.99,10.56,0,242,7.2,3.67,11.32,0,246,5.7,2.66,9.22,0,240,1.8,0,3.86,0,398,6.1,3.68,8.91,0,567,5.8,3.36,8.41,0,965,5.9,4.19,8.12,0,359314,255174,494513,true,false
MS,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,2988762,40,777,,,,315,8.7,5,12.37,0,315,6.4,3.37,9.61,0,314,4.5,1.63,7.94,0,381,5.5,2.81,8.51,0,603,5.6,3.61,7.98,0,984,5.5,3.82,7.31,0,164382,114171,218479,false,false
MT,"Sep 23 -  Oct 8, 2020",5,Statewide,Statewide,1041732,21,777,,,,253,2,0,4.19,0,220,1.3,0,2.94,1,212,0.8,0,2.61,1,294,4,0,11.16,1,412,1.4,0.39,2.79,0,706,2.7,0.6,6.52,1,28127,6250,67921,true,true
